Name, IATA, ICAO, Country, Active
Air Asia X,ZM,IDX,Indonesia,Y
Alghanim,ZL,KYA,United States,Y
Norwegian Air International,ZK,IBK,Norway,Y
Boliviana de Aviacion,ZI,BOV,Bolivia,Y
AtlasGlobal Ukraine,ZH,UJX,Ukraine,Y
Pouya Air,ZE,PYA,Iran,Y
Mann Yadanarpon Airlines,ZB,MYP,Burma,Y
BA101,Z9,710,United Kingdom,Y
Fly Africa Zimbabwe,Z6,FZW,Zimbabwe,Y
Jet Suite,Z4,RSP,United States,Y
FTI Fluggesellschaft,Z3,FTI,Germany,N
Go2Sky,Z2,RLX,Slovakia,Y
Tomsk-Avia,YT,TKS,Russia,Y
Simrik Airlines,YQ,RMK,Nepal,Y
Russkie Krylya,YO,KRY,Russia,Y
FLYJET,YM,FYJ,Poland,Y
Comfort Express Virtual Charters Albany,YK,EVC,United States,Y
Golden Myanmar Airlines,YC,GMR,Burma,Y
Nurnberger Flugdienst,Y9,NFD,Germany,N
Eastern Atlantic Charters,Y8,EDI,United States,N
Taunus Air Gmbh,Y7,TAQ,Germany,N
Bingo Airways,Y5,BGY,Poland,Y
Flybe Finland Oy,Y4,FCM,Finland,Y
Rotana Jet,XY,RJD,United Arab Emirates,Y
East Horizon,XV,EHN,Afghanistan,Y
Executive AirShare,XQ,XSR,United States,Y
Air Engiadina-BRN,XL,RQX,Switzerland,N
Malaysia Wings,XK,MWI,Malaysia,Y
Medallion Air,WY,MDP,Romania,Y
Direct Aero Services,WX,DSV,Romania,Y
YES Airways,WW,YEP,Poland,Y
AlbaStar,WU,LAV,Spain,Y
Air Bucharest,WS,BUR,Romania,Y
Holidays Czech Airlines,WP,HCC,Czech Republic,Y
Air Cudlua,WN,CUD,United Kingdom,Y
Kan Air,WM,KND,Thailand,Y
Compania de Aviacion Faucett,WJ,CFP,Peru,N
OCEAN AIR CARGO,WF,IXO,India,Y
SUR Lineas Aereas,WB,SZZ,Argentina,Y
CBM America,W9,XBM,United States,Y
Finlandian,W6,FN1,Finland,Y
Zapolyarie Airlines,W5,PZY,Russia,Y
Korea Express Air,W3,KEA,South Korea,Y
Jupiter Airlines,W2,JPU,United Arab Emirates,Y
Grand China Air,VY,GDC,China,Y
Flugfelag Vestmannaeyja,VX,FVM,Iceland,Y
Norlandair,VW,FNA,Iceland,Y
Sevenair,VT,SEN,Tunisia,Y
Wind Rose Aviation,VS,WRC,Ukraine,Y
Air Italy Egypt,VR,EUD,Egypt,Y
EgyptAir Express,VQ,MSE,Egypt,Y
Air 26,VN,DCD,Angola,Y
Air Century,VJ,CEY,Dominican Republic,Y
Southern Air Charter,VH,SOA,Bahamas,Y
Enerjet,VF,ENJ,Canada,Y
LIO Flugmennt,VB,LIO,Iceland,N
Hellenic Star Airways,VA,HST,Greece,N
Inter European Airways,V9,IEA,United Kingdom,N
Dan-Air London,V7,DAN,United Kingdom,N
Zorex,V3,ORZ,Spain,N
Zhez Air,V0,KZH,Kazakhstan,N
Zhejiang Airlines,UY,CJG,China,N
Zephyr Express,UX,RZR,United States,N
Zenith Air,UU,AZR,South Africa,N
Zantop International Airlines,US,ZAN,United States,N
Zanair,UR,TAN,Tanzania,Y
Zaire Aero Service,UP,ZAI,Democratic Republic of Congo,N
Zagros Airlines,UO,IZG,Iran,N
Z-Avia,UN,RZV,Armenia,N
Yuzhmashavia,UM,UMK,Ukraine,Y
Yuzhnaya Aircompany,UL,UGN,Kazakhstan,N
Yellow Wings Air Services,UJ,ELW,Kenya,N
Yak-Service,UG,AKY,Russia,N
Xerox Corporation,UE,XER,United States,N
Xclusive Jet Charter Limited,UD,XJC,United Kingdom,N
XP Internation,UA,XPS,Netherlands,N
Worldwide Jet Charter,U6,WWI,United States,N
Woodgate Executive Air Charter,U2,CWY,United Kingdom,N
Wisman Aviation,TZ,WSM,United States,N
Winlink,TY,WIN,Saint Lucia,N
Wings of Lebanon Aviation,TX,WLB,Lebanon,N
Wings Aviation,TW,WOL,Guyana,N
Wings Airways,TV,WAW,United States,N
Wings Air Transport,TU,WAT,Sudan,N
Windrose Air,TT,QGA,Germany,N
Wind Spirit Air,TS,WSI,United States,N
Winair,TR,WNA,United States,N
Williams Air,TP,WLS,United States,N
Wiking Helikopter Service,TO,WHS,Germany,N
Wiggins Airways,TN,WIG,United States,N
Whyalla Airlines,TM,WWL,Australia,N
White Eagle Aviation,TL,WEA,Poland,N
White,TK,WHT,Portugal,N
Westland Helicopters,TJ,WHE,United Kingdom,N
Western Aviators,TG,WTV,United States,N
Western Arctic Air,TF,WAL,Canada,N
Western Air,TD,WST,Bahamas,N
Westair Aviation,TA,WAA,Namibia,N
West Coast Airlines,T7,WCG,Ghana,N
West Air Luxembourg,T5,WLX,Luxembourg,N
West African Airlines,T3,WSF,Benin,N
Welch Aviation,SZ,TDB,United States,N
Weasua Air Transport Company,SY,WTC,Liberia,N
Warbelow's Air Ventures,SX,WAV,United States,N
Wapiti Aviation,SW,WPT,Canada,N
Walter I Linkoping,SV,GOT,Sweden,N
Walsten Air Services,SU,WAS,Canada,N
Walmart Aviation,ST,CGG,United States,N
WSI Corporation,SS,XWS,United States,N
WRA Inc,SQ,WRR,United States,N
Volga Aviaexpress,SN,WLG,Russia,N
Vuelos Internos Privados VIP,SK,VUR,Ecuador,N
Vointeh,SJ,VTV,Bulgaria,N
Victor Tagle Larrain,SI,VTL,Chile,N
Voronezh Aircraft Manufacturing Society,SG,VSO,Russia,N
Vickers Limited,SE,VSB,United Kingdom,N
Voar Lda,SD,VRL,Angola,N
Volare Airlines,SC,VRE,Ukraine,N
Vertair,SB,VRA,United Kingdom,N
VIP-Avia,SA,VPV,Georgia,N
VIP Air,S9,VPA,Slovakia,N
Vertical-T Air Company,S7,VLT,Russia,N
Vistajet,S6,VJT,Canada,N
Viking Airlines,S4,VIK,Sweden,N
Vichi,S3,VIH,Moldova,N
Vega Aviation,S2,VIG,Sudan,N
VZ Flights,RX,VFT,Mexico,N
Viscount Air Service,RQ,VCT,United States,N
VIM-Aviaservice,RO,MVY,Russia,N
Veritair Ltd,RL,BTP,United Kingdom,N
Vega Air Company,RJ,WGA,Ukraine,N
Vega,RI,VAG,Kazakhstan,N
Valan Limited,RC,VLN,Moldova,N
Vacationair,RA,VAC,Canada,N
Universal Airlines,R3,UVG,Guyana,N
Universal Airways,R2,UVA,United States,N
UTAGE,QZ,UTG,Equatorial Guinea,N
US Check Airlines,QV,USC,United States,N
Uraiavia,QU,URV,Russia,N
Unsped Paket Servisi,QS,UNS,Turkey,N
Universal Jet,QR,UNJ,Spain,N
Ukraine Air Alliance,QN,UKL,Ukraine,N
Universal Jet Aviation,QL,UJT,United States,N
Uganda Airlines,QH,UGA,Uganda,N
UFS,QG,UFS,United States,N
Ues-Avia Aircompany,QF,UES,Ukraine,N
United Arab Emirates Air Force,QC,UAF,United Arab Emirates,N
Ukraine Transavia,QB,TRB,Ukraine,N
Universal Airlines,Q9,PNA,United States,N
University of North Dakota,Q8,NDU,United States,N
US Marshals Service,Q7,MSH,United States,N
Unijet,Q6,LEA,France,N
University Air Squadron,Q3,UAJ,United Kingdom,N
University Air Squadron,Q2,UAD,United Kingdom,N
United States Department Of Agriculture,PZ,AGR,United States,N
United States Coast Guard Auxiliary,PY,CGX,United States,N
United Kingdom Royal VIP Flights,PX,TQF,United Kingdom,N
United Kingdom Civil Aviation Authority,PW,SDS,United Kingdom,N
United Kingdom Royal VIP Flight,PV,KRH,United Kingdom,N
United Arabian Airlines,PS,UAB,Sudan,N
US Army Parachute Team,PR,GKA,United States,N
United Kingdom Civil Aviation Authority,PQ,EXM,United Kingdom,N
Travel Express Aviation Services,PN,XAR,Indonesia,N
Taxi de Veracruz,PM,VRC,Mexico,N
Tag Aviation UK,PL,VIP,United Kingdom,N
Transaven,PK,VEN,Venezuela,N
Transarabian Transportation Services,PJ,UTT,Uganda,N
TAPC Aviatrans Aircompany,PI,UTM,Uzbekistan,N
Trans Asian Airlines,PG,SRT,Kazakhstan,N
