#Airline, Departure, Arrival, Plane
NF,NUS,VLI,YN2;DHT;BNI
NF,SON,LNE,YN2;DHT;BNI
NF,CCV,NUS,YN2;DHT
NF,VLI,NUS,YN2;DHT
NF,AUY,TAH,YN2;BNI
NF,FTA,TAH,YN2;BNI
NF,LNE,SON,YN2;BNI
NF,TAH,AUY,YN2;BNI
NF,TAH,AWD,YN2;BNI
NF,AWD,FTA,YN2
NF,DLY,IPA,YN2
NF,DLY,VLI,YN2
NF,FTA,AWD,YN2
NF,IPA,DLY,YN2
NF,IPA,TAH,YN2
NF,IPA,VLI,YN2
NF,MTV,ZGU,YN2
NF,SLH,MTV,YN2
NF,TAH,IPA,YN2
NF,ULB,VLI,YN2
NF,VLI,CCV,YN2
NF,VLI,DLY,YN2
NF,VLI,IPA,YN2
4G,NYM,OVS,YK4
4G,OVS,NYM,YK4
4G,OVS,SVX,YK4
4G,SVX,OVS,YK4
6W,DME,RTW,YK2;E90
SD,KRT,PZU,YK2;320
SD,PZU,KRT,YK2;320
4G,EYK,VKO,YK2
4G,OVS,VKO,YK2
4G,UCT,VKO,YK2
4G,VKO,EYK,YK2
4G,VKO,OVS,YK2
4G,VKO,UCT,YK2
6W,EVN,RTW,YK2
6W,MRV,RTW,YK2
6W,RTW,EVN,YK2
6W,RTW,MRV,YK2
6W,RTW,SVX,YK2
6W,SVX,RTW,YK2
I8,DME,IJK,YK2
I8,DME,KRO,YK2
I8,IJK,DME,YK2
I8,IJK,LED,YK2
I8,KRO,DME,YK2
I8,LED,IJK,YK2
SD,EGN,KRT,YK2
SD,ELF,KRT,YK2
SD,KRT,EGN,YK2
SD,KRT,ELF,YK2
6R,MJZ,OVB,TU5;738
6R,OVB,MJZ,TU5;738
4G,NUX,TJM,TU5
4G,NUX,UFA,TU5
4G,TJM,NUX,TU5
4G,UFA,NUX,TU5
6R,DME,PYJ,TU5
6R,OVB,PYJ,TU5
6R,PYJ,DME,TU5
6R,PYJ,OVB,TU5
Y9,AWZ,THR,TU3
Y9,IFN,MRX,TU3
6R,MJZ,YKS,TU3;AN4
6R,YKS,MJZ,TU3;AN4
6R,KJA,MJZ,TU3
6R,MJZ,KJA,TU3
Y9,MRX,IFN,TU3
Y9,TBZ,THR,TU3
Y9,THR,AWZ,TU3
Y9,THR,TBZ,TU3
UN,DME,YKS,T20;763
UN,DME,HRG,T20;744
UN,HRG,DME,T20;744
CU,CCS,HAV,T20;320;A58;319
CU,HAV,CCS,T20;320;A58;319
JS,FNJ,KUL,T20
JS,FNJ,SHE,T20
JS,FNJ,VVO,T20
JS,KUL,FNJ,T20
JS,SHE,FNJ,T20
JS,VVO,FNJ,T20
UN,BHK,DME,T20
UN,DME,BHK,T20
PM,FUE,LPA,AT4
PM,LPA,FUE,AT4
PM,LPA,NDB,AT4
PM,NDB,LPA,AT4
R3,KHV,YKS,SU9;DH4
R3,YKS,KHV,SU9;DH4
3R,DME,TIV,SU9;73G
3R,TIV,DME,SU9;73G
SU,SVO,OTP,SU9;737
SU,SVO,DOK,SU9;320;319
SU,PEE,SVO,SU9;320
SU,SVO,GOJ,SU9;320
SU,SVO,PEE,SU9;319
SU,HRK,SVO,SU9;319
SU,SVO,HRK,SU9;319
3R,ASF,DME,SU9
3R,ASF,LED,SU9
3R,DME,ASF,SU9
3R,DME,EGO,SU9
3R,EGO,DME,SU9
3R,LED,ASF,SU9
4O,AGU,MEX,SU9
4O,CPE,MEX,SU9
4O,LAP,MEX,SU9
4O,MEX,AGU,SU9
4O,MEX,CPE,SU9
4O,MEX,LAP,SU9
4O,MEX,MTT,SU9
4O,MEX,MZT,SU9
4O,MEX,PQM,SU9
4O,MEX,REX,SU9
4O,MEX,TRC,SU9
4O,MEX,ZCL,SU9
4O,MEX,ZLO,SU9
4O,MTT,MEX,SU9
4O,MZT,MEX,SU9
4O,PQM,MEX,SU9
4O,REX,MEX,SU9
4O,TRC,MEX,SU9
4O,ZCL,MEX,SU9
4O,ZLO,MEX,SU9
R3,GDX,KHV,SU9
R3,HRB,YKS,SU9
R3,KHV,GDX,SU9
R3,VVO,YKS,SU9
R3,YKS,HRB,SU9
R3,YKS,VVO,SU9
SU,DNK,SVO,SU9
SU,DRS,SVO,SU9
SU,KRK,SVO,SU9
SU,MQF,SVO,SU9
SU,SVO,DNK,SU9
SU,SVO,DRS,SU9
SU,SVO,KRK,SU9
SU,SVO,MQF,SU9
3P,AUA,LSP,SH6
3P,AUA,MAR,SH6
3P,BON,CUR,SH6
3P,CUR,AUA,SH6
3P,LSP,AUA,SH6
3P,MAR,AUA,SH6
BE,ABZ,LSI,SF3;S20
BE,KOI,ABZ,SF3;S20
BE,LSI,ABZ,SF3;S20
GZ,RAR,AIT,SF3;EMB
