#Airline, Departure, Arrival, Plane
PK,NRT,PEK,310
PK,PEK,ISB,310
PK,PEK,NRT,310
PK,PEW,DOH,310
PK,PEW,KUL,310
PK,PEW,MCT,310
PK,PEW,RUH,310
PK,RUH,LHE,310
PK,RUH,PEW,310
PK,RUH,SKT,310
PK,SHJ,ISB,310
PK,SKT,DMM,310
PK,SKT,ISB,310
PK,SKT,KWI,310
PK,SKT,MCT,310
PK,SKT,RUH,310
PK,UET,ISB,310
TS,AGP,YUL,310
TS,AMS,YYZ,310
TS,BCN,YUL,310
TS,BCN,YYZ,310
TS,BOD,YUL,310
TS,BRU,YUL,310
TS,CCC,YHZ,310
TS,CCC,YUL,310
TS,CDG,YQB,310
TS,CUN,YHZ,310
TS,CUN,YQB,310
TS,DUB,YYZ,310
TS,FLL,YUL,310
TS,GLA,YYZ,310
TS,LGW,YUL,310
TS,LIS,YUL,310
TS,LIS,YYZ,310
TS,LRM,YHZ,310
TS,LYS,YUL,310
TS,MBJ,YHZ,310
TS,MCO,YHZ,310
TS,NCE,YUL,310
TS,OPO,LIS,310
TS,POP,LRM,310
TS,PUJ,YHZ,310
TS,PUJ,YQB,310
TS,PUJ,YUL,310
TS,SNU,CCC,310
TS,TLS,YUL,310
TS,VCE,YUL,310
TS,VCE,YYZ,310
TS,VRA,SNU,310
TS,VRA,YHZ,310
TS,YQB,PUJ,310
TS,YQB,YUL,310
TS,YUL,AGP,310
TS,YUL,BCN,310
TS,YUL,BOD,310
TS,YUL,BRU,310
TS,YUL,CCC,310
TS,YUL,FLL,310
TS,YUL,LGW,310
TS,YUL,LIS,310
TS,YUL,LYS,310
TS,YUL,NCE,310
TS,YUL,PUJ,310
TS,YUL,TLS,310
TS,YUL,YQB,310
TS,YUL,YYZ,310
TS,YYZ,AMS,310
TS,YYZ,BCN,310
TS,YYZ,DUB,310
TS,YYZ,GLA,310
TS,YYZ,LIS,310
TS,YYZ,OPO,310
TS,YYZ,VCE,310
TS,YYZ,YUL,310
2I,PCL,TPP,146
2I,TPP,PCL,146
C8,BSG,COO,146
C8,BSG,SSG,146
C8,COO,BSG,146
C8,COO,SSG,146
C8,DLA,SSG,146
C8,SSG,BSG,146
C8,SSG,COO,146
C8,SSG,DLA,146
YK,ALA,FRU,146
YK,DYU,FRU,146
YK,FRU,ALA,146
YK,FRU,DYU,146
YK,FRU,KJA,146
YK,FRU,KZN,146
YK,FRU,OSS,146
YK,FRU,OVB,146
YK,FRU,SVX,146
YK,KJA,FRU,146
YK,KZN,FRU,146
YK,KZN,OSS,146
YK,OSS,FRU,146
YK,OSS,KJA,146
YK,OSS,KZN,146
YK,OSS,OVB,146
YK,OSS,SVX,146
YK,OVB,FRU,146
