CKey,Shortname,Title,City,Country,Editors,Year,ISBN
C1,SSDBM,27th International Conference on Scientific and Statistical Database Management; SSDBM '15,La Jolla,USA,A835298:A632638,2015,978-1-4503-3709-0
C2,SSDBM,31st International Conference on Scientific and Statistical Database Management; SSDBM 2019,Santa Cruz,USA,A1898935:A1855080,2019,978-1-4503-6216-0
C3,SSDBM,Conference on Scientific and Statistical Database Management; SSDBM '13,Baltimore,USA,A705674:A928518:A1986285:A1363122:A413593,2013,978-1-4503-1921-8
C4,SSDBM,28th International Conference on Scientific and Statistical Database Management; SSDBM 2016,Budapest,Hungary,A1985966:A1855351:A594828:A1761791:A1603783:A893249:A148349,2016,978-1-4503-4215-5
C5,SSDBM,Scientific and Statistical Database Management - 24th International Conference; SSDBM 2012,Chania,Greece,A111462:A481885,2012,978-3-642-31234-2
C6,SSDBM,Conference on Scientific and Statistical Database Management; SSDBM '14,Aalborg,Denmark,A39313:A1565475:A2453355:A1026780:A2247070,2014,978-1-4503-2722-0
C7,SSDBM,29th International Conference on Scientific and Statistical Database Management,Chicago,USA,,2017,978-1-4503-5282-6
C8,SSDBM,Scientific and Statistical Database Management - 23rd International Conference; SSDBM 2011,Portland,USA,A1443708:A349905:A481885,2011,978-3-642-22350-1
C9,SSDBM,30th International Conference on Scientific and Statistical Database Management; SSDBM 2018,Bozen Bolzano,Italy,A210419:A2279962:A1986181,2018,
C10,ICDT,18th International Conference on Database Theory; ICDT 2015,Brussels,Belgium,A2064376:A33970,2015,978-3-939897-79-8
C11,ICDT,22nd International Conference on Database Theory; ICDT 2019,Lisbon,Portugal,A1634636:A319223,2019,978-3-95977-101-6
C12,ICDT,Joint 2013 EDBT/ICDT Conferences; ICDT '13 Proceedings,Genoa,Italy,A2247210:A834860:A1443837:A834705,2013,978-1-4503-1598-2
C13,ICDT,19th International Conference on Database Theory; ICDT 2016,Bordeaux,France,A1532146:A1325896,2016,978-3-95977-002-6
C14,ICDT,15th International Conference on Database Theory; ICDT '12,Berlin,Germany,A2453951,2012,978-1-4503-0791-8
C15,ICDT,Proc. 17th International Conference on Database Theory (ICDT),Athens,Greece,A704632:A1443871:A1561105,2014,
C16,ICDT,20th International Conference on Database Theory; ICDT 2017,Venice,Italy,A1986177:A2171960,2017,978-3-95977-024-8
C17,ICDT,Database Theory - ICDT 2011; 14th International Conference,Uppsala,Sweden,A1855345,2011,978-1-4503-0529-7
C18,ICDT,21st International Conference on Database Theory; ICDT 2018,Vienna,Austria,A563445:A330954,2018,978-3-95977-063-7
C19,KDD,21th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,Sydney,Australia,A683556:A121338:A39275:A2106348:A1321518:A217312,2015,978-1-4503-3664-2
C20,KDD,25th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining; KDD 2019,Anchorage,USA,A2247239:A855993:A1048893:A275137:A2247343:A856000,2019,978-1-4503-6201-6
C21,KDD,19th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining; KDD 2013,Chicago,USA,A1204305:A856142:A208339:A1337407:A1911370:A1650192:A1324365:A834936:A757993,2013,978-1-4503-2174-7
C22,KDD,22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,San Francisco,USA,A515307:A1371748:A705567:A111353:A2241183:A402746,2016,978-1-4503-4232-2
C23,KDD,18th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining; KDD '12,Beijing,China,A2068592:A992156:A2453897,2012,978-1-4503-1462-6
C24,KDD,20th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining; KDD '14,New York,USA,A436010:A1323296:A1566007:A2106232:A208339,2014,978-1-4503-2956-9
C25,KDD,23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,Halifax,Canada,,2017,978-1-4503-4887-4
C26,KDD,17th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,San Diego,USA,A706037:A847926:A704551,2011,978-1-4503-0813-7
C27,KDD,24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining; KDD 2018,London,United Kingdom,A835087:A405565,2018,
C28,EDBT,18th International Conference on Extending Database Technology; EDBT 2015,Brussels,Belgium,A111580:A835200:A2453529:A1634636:A2247099:A33970:A1986737:A2453649,2015,
C29,EDBT,Advances in Database Technology - 22nd International Conference on Extending Database Technology; EDBT 2019,Lisbon,Portugal,A2106426:A834721:A2057091:A559912:A540534:A2444364,2019,978-3-89318-081-3
C30,EDBT,Joint 2013 EDBT/ICDT Conferences; EDBT '13 Proceedings,Genoa,Italy,A834860:A2453512,2013,978-1-4503-1597-5
C31,EDBT,19th International Conference on Extending Database Technology; EDBT 2016; Bordeaux; France,Bordeaux,France,A2453579:A1321195:A856239:A1855195:A2247301:A1855351:A2062192,2016,978-3-89318-070-7
C32,EDBT,15th International Conference on Extending Database Technology; EDBT '12,Berlin,Germany,A402282:A1855758:A1855351:A111395:A1242949:A1965289,2012,978-1-4503-0790-1
C33,EDBT,17th International Conference on Extending Database Technology; EDBT 2014,Athens,Greece,A111395:A1443871:A283983:A835191:A1761799:A1561105,2014,
C34,EDBT,20th International Conference on Extending Database Technology; EDBT 2017,Venice,Italy,A1855758:A612359:A1855118:A1196095:A705744:A41528,2017,978-3-89318-073-8
C35,EDBT,EDBT 2011; 14th International Conference on Extending Database Technology,Uppsala,Sweden,A111462:A111395:A2453660:A402485:A970300:A704839,2011,978-1-4503-0528-0
C36,EDBT,21th International Conference on Extending Database Technology; EDBT 2018,Vienna,Austria,A1986181:A1044753:A1493819:A402609:A2225253:A70083,2018,978-3-89318-078-3
C37,CIDR,CIDR 2015; Seventh Biennial Conference on Innovative Data Systems Research,Asilomar,USA,,2015,
C38,CIDR,CIDR 2019; 9th Biennial Conference on Innovative Data Systems Research,Asilomar,USA,,2019,
C39,CIDR,CIDR 2020; 10th Conference on Innovative Data Systems Research,Amsterdam,The Netherlands,,2020,
C40,CIDR,CIDR 2013; Sixth Biennial Conference on Innovative Data Systems Research,Asilomar,USA,,2013,
C41,CIDR,CIDR 2017; 8th Biennial Conference on Innovative Data Systems Research,Chaminade,USA,,2017,
C42,CIDR,CIDR 2011; Fifth Biennial Conference on Innovative Data Systems Research,Asilomar,USA,,2011,
C43,SIGMOD,2015 ACM SIGMOD International Conference on Management of Data,Melbourne,Australia,A704762:A1204265:A1761793,2015,978-1-4503-2758-9
C44,SIGMOD,2019 International Conference on Management of Data; SIGMOD Conference 2019,Amsterdam,The Netherlands,A1986864:A1855308:A111462:A1203867:A1044165,2019,978-1-4503-5643-5
C45,SIGMOD,ACM SIGMOD International Conference on Management of Data; SIGMOD 2013,New York,USA,A402440:A705198:A2453476,2013,978-1-4503-2037-5
C46,SIGMOD,2016 International Conference on Management of Data; SIGMOD Conference 2016,San Francisco,USA,A288450:A856239:A1854819,2016,978-1-4503-3531-7
C47,SIGMOD,ACM SIGMOD International Conference on Management of Data; SIGMOD 2012,Scottsdale,USA,A1444162:A334535:A704396:A834672:A2353195,2012,978-1-4503-1247-9
C48,SIGMOD,International Conference on Management of Data; SIGMOD 2014,Snowbird,USA,A1204273:A1565396:A288585,2014,978-1-4503-2376-5
C49,SIGMOD,2017 ACM International Conference on Management of Data; SIGMOD Conference 2017,Chicago,USA,A462986:A1551286:A18861:A1164700:A704853,2017,978-1-4503-4197-4
C50,SIGMOD,ACM SIGMOD International Conference on Management of Data,Athens,Greece,A704762:A1855178:A283983:A981940,2011,978-1-4503-0661-4
C51,SIGMOD,2018 International Conference on Management of Data; SIGMOD Conference 2018,Houston,USA,A764949:A39362:A1986759,2018,
C52,ER,Conceptual Modeling - 34th International Conference; ER 2015,Stockholm,Sweden,A39244:A1565997:A1565529:A961172:A2453574,2015,978-3-319-25263-6
C53,ER,Conceptual Modeling - 38th International Conference; ER 2019,Salvador,Brazil,A1565582:A2453626:A1565265:A288611,2019,978-3-030-33223-5
