AKey,Name,Aliases,Affiliation,Country,Website
A109,Evfrosiniya Zerminova,,,,
A344,Pakawadee Pengcharoen,,,,
A1731,Xiangpeng Hao,,,,
A5282,Kaixing Dong,,,,
A6464,Dimitri Schepers,,,,
A6612,Sutedi Sutedi,,,,
A8521,Xinjing Zhou,,,,
A9646,Siamak Barzegar,,,,
A9684,Vu Hung,,,,
A9710,Maria I. Sessa,,,,
A9840,Gilles Trédan,,,,
A9896,Ji Sun,,,,
A9909,Aditya Khosla,,,,
A9912,Zhiping Zhang,,,,
A9933,Bamshad Mobasher,,,,
A9991,Justin Salamon,,,,
A10033,Chen Change Loy,,,,https://orcid.org/0000-0001-5345-1591
A10047,Maxim N. Grinev,Maxim Grinev,,,
A10163,G. Seth Shostak,,,,
A10234,Cheng Zeng,,,,
A10256,Kai Ren,,,,
A10356,Mariët Theune,,University of Twente,The Netherlands,http://wwwhome.cs.utwente.nl/~theune/
A10499,Matteo Varvello,,,,
A10651,Takayuki Katsuki,,,,
A10687,Yongjian Yang,,,,
A10727,Petr Knoth,,,,
A10826,Dominik Lenhard,,,,
A10927,Ryohei Orihara,,,,
A10987,Jinoh Oh,,,,
A11112,Eric Peterson,,,,
A11170,Jamey Hicks,,,,
A11199,MingJie Tang,Mingjie Tang,,,
A11221,Adil M. Bagirov,,,,
A11285,Prudhvi Janga,,,,
A11302,Haoming Shen,,,,
A11331,Hong Xu 0003,,IBM,USA,http://www.hong.me/
A11426,Paul Wilson,,,,
A11493,Lenar Yazdanov,,,,
A11535,Mingfeng Tan,,,,
A11564,Kirk D. Borne,,George Mason University,USA,http://kirkborne.net/
A11699,Fuming Lei,,,,
A11715,Yunyan Du,,,,
A11776,Anil R. Gangolli,,,,
A11910,Tyler Moore,Tyler W. Moore,The University of Tulsa,USA,http://tylermoore.ens.utulsa.edu/
A11923,Christian Zöllner,,,,
A11984,Brian C. Healy,,,,
A12048,Kai Ren 0001,,Carnegie Mellon University,USA,
A12053,Yifeng Luo,,,,
A12070,Borja Calvo,,,,https://orcid.org/0000-0001-9969-9664
A12113,Zhonghai Wu,,,,
A12164,Guoming He,,,,
A12182,Song Guo 0001,,Hong Kong Polytechnic University,Hong Kong,https://orcid.org/0000-0001-9831-2202
A12231,Hong Xu 0001,Henry Hong Xu,City University of Hong Kong,Hong Kong,https://henryhxu.github.io/
A12239,Zhang Liu,,,,
A12273,Smitha Sundareswaran,,,,
A12315,Jingsong Lv,,,,
A12439,Yaqiong Wang,,,,
A12520,Mahmood Neshati,,,,https://scholar.google.com/citations?user=drrI9MAAAAAJ
A12572,Zhuo Wang 0004,,Shenyang Ligong University,China,https://orcid.org/0000-0002-4210-0427
A12644,Lu Lu,,,,
A12703,Markus Strohmaier,,RWTH Aachen,Germany,http://www.markusstrohmaier.info/
A12827,Carmela Troncoso,,,,
A12859,Liwei Liu,,,,
A12944,Francesca Guzzi,,,,
A12981,Erwin Tam,,,,
A13013,Xuan-Hong Dang,,UC,USA,http://cs.au.dk/~dang/
A13053,Maria Giatsoglou,,,,
A13073,Fernando Silva Parreiras,,FUMEC University,Brazil,http://fernando.parreiras.nom.br/
A13084,Amit Dutta,,,,
A13212,P. V. G. D. Prasad Reddy,,,,
A13262,Rong Zhu,,,,
A13326,Sang Won Lee,,,,
A13366,Zhenyu Zhang,,,,
A13428,Chen Yang 0001,,Jilin University,China,https://orcid.org/0000-0002-7688-9278
A13432,Guanfeng Liu 0001,,Macquarie University,Australia,https://orcid.org/0000-0001-8980-4950
A13443,Alan R. Williams,,,,
A13499,Maria Vanina Martinez,Maria Vanina Martínez,Universidad Nacional del Sur,Argentina,http://cs.uns.edu.ar/~mvm/
A13502,Fátima Rodrigues,Maria de Fatima Rodrigues,,,
A13511,Massimiliano Albanese,,George Mason University,USA,https://orcid.org/0000-0002-2675-5810
A13519,Hannes Rauhe,,,,
A13539,Ashish Jagmohan,,,,
A13724,Ashraf Aboulnaga,,,,
A13775,Krishna Ramachandran,,,,
A13827,Zhuo Wang 0002,,Northwestern Polytechnical University,China,https://orcid.org/0000-0001-9383-9507
A13888,Salim Roukos,,,,
A13960,Thomas F. Wenisch,,University of Michigan,USA,http://www.eecs.umich.edu/~twenisch/
A14155,Yong Qi,,,,
A14160,Gordon Sun,,,,
A14202,Jörg Hakenberg,,,,https://orcid.org/0000-0001-8781-7766
A14216,Gaogang Xie,,,,https://orcid.org/0000-0003-4964-1135
A14225,Ripduman Sohan,,,,
A14271,Stefan Richter 0007,,Saarland University,Germany,http://infosys.uni-saarland.de/people/richter.php
A14411,Badrish Chandramouli,,,,
A14467,Taifeng Wang,,,,
