TKey,Author,Title,Year,Type,School,Country,Pages,ISBN
T10,A2298360,Security-driven software evolution using a model driven approach,2014,PhD,De Montfort University,United Kingdom,,
T11,A1910461,Impact analysis in description logic ontologies,2014,PhD,University of Manchester,United Kingdom,,
T42,A1777265,Intelligent system based assessments of academic journals,2015,PhD,Aberystwyth University,United Kingdom,,
T49,A1407833,Graph patterns: structure; query answering and applications in schema mappings and formal language theory,2013,PhD,University of Edinburgh,United Kingdom,,
T65,A1291615,Autonomic behavioural framework for structural parallelism over heterogeneous multi-core systems,2015,PhD,Robert Gordon University,United Kingdom,,
T255,A2382865,Exploiting social networks for recommendation in online image sharing systems,2012,PhD,Open University,United Kingdom,,
T266,A253949,Adaptive multiple importance sampling for Gaussian processes and its application in social signal processing,2017,PhD,University of Glasgow,United Kingdom,,
T287,A2311892,Machine learning techniques for high dimensional data,2015,PhD,University of Liverpool,United Kingdom,,
T289,A1014538,Network-provider-independent overlays for resilience and quality of service,2011,PhD,Queen Mary University of London,United Kingdom,,
T317,A2303110,Analytic knowledge discovery techniques for ad-hoc information retrieval and automatic text summarization,2011,PhD,Ulster University,United Kingdom,,
T325,A2357624,Higher-order frameworks for profiling and matching heterogeneous data,2014,PhD,University of Bristol,United Kingdom,,
T327,A1092756,Query answering in distributed RDF databases,2017,PhD,University of Oxford,United Kingdom,,
T344,A1772341,Cost-efficient resource management for scientific workflows on the cloud,2016,PhD,University of Manchester,United Kingdom,,
T360,A1231799,New approaches to operating system security extensibility,2011,PhD,University of Cambridge,United Kingdom,,
T362,A444904,Type projections over sef-describing data,2011,PhD,University of Strathclyde,United Kingdom,,
T366,A329801,Role of semantic indexing for text classification,2014,PhD,Robert Gordon University,United Kingdom,,
T370,A548601,PAGOdA: pay-as-you-go ontology query answering using a datalog reasoner,2015,PhD,University of Oxford,United Kingdom,,
T412,A1226277,Proximity coherence for chip-multiprocessors,2011,PhD,University of Cambridge,United Kingdom,,
T417,A1267975,Models of argument for deliberative dialogue in complex domains,2013,PhD,University of Aberdeen,United Kingdom,,
T456,A2041850,Optimizing the construction of information retrieval test collections,2013,PhD,University College London,United Kingdom,,
T478,A1534922,Spatial relationship based scene analysis and synthesis,2014,PhD,University of Edinburgh,United Kingdom,,
T554,A1055660,Financial methods for online advertising,2015,PhD,University College London,United Kingdom,,
T579,A985595,An activity-centric approach to configuration work in distributed interaction,2016,PhD,Lancaster University,United Kingdom,,
T601,A2421749,The role of context in image annotation and recommendation,2016,PhD,University of Glasgow,United Kingdom,,
T625,A39727,Human urban mobility in location-based social networks: analysis; models and applications,2013,PhD,University of Cambridge,United Kingdom,,
T671,A1016037,Management and programming of reconfigurable hardware resources,2011,PhD,Imperial College London,United Kingdom,,
T692,A243674,The application of workflows to digital heritage systems,2012,PhD,University of Sussex,United Kingdom,,
T693,A145930,Targeted feedback collection for data source selection with uncertainty,2018,PhD,University of Manchester,United Kingdom,,
T695,A270995,Spatial properties of online social services: measurement; analysis and applications,2012,PhD,University of Cambridge,United Kingdom,,
T717,A239500,Towards efficient big data processing in data centres,2017,PhD,Imperial College London,United Kingdom,,
T721,A2046239,Improving the performance and scalability of patten subgraph queries,2018,PhD,University of Glasgow,United Kingdom,,
T725,A2027640,Inferring the geolocation of tweets at a fine-grained level,2019,PhD,University of Glasgow,United Kingdom,,
T734,A2169101,The development and application of a simulation system for diffusion-weighted MRI,2018,PhD,University College London,United Kingdom,,
T738,A652792,Optimal real-time bidding for display advertising,2016,PhD,University College London,United Kingdom,,
T743,A846831,Improving multi-view facial expression recognition in unconstrained environments,2017,PhD,University of Kent,United Kingdom,,
T778,A1728426,Analysing volunteer engagement in humanitarian crowdmapping,2017,PhD,University College London,United Kingdom,,
T798,A2188677,Improving data quality: data consistency; deduplication; currency and accuracy,2013,PhD,University of Edinburgh,United Kingdom,,
T849,A1553194,Macro-micro approach for mining public sociopolitical opinion from social media,2017,PhD,University of Warwick,United Kingdom,,
T862,A1557511,Exploiting structure in integer programs,2012,PhD,University of Nottingham,United Kingdom,,
T917,A2298644,Time Series classification through transformation and ensembles,2015,PhD,University of East Anglia,United Kingdom,,
T927,A1393564,J-model: an open and social ensemble learning architecture for classification,2012,PhD,University of Edinburgh,United Kingdom,,
T966,A922125,Equilibria in finite games,2016,PhD,University of Liverpool,United Kingdom,,
T978,A2166487,Understanding the performance of Internet video over residential networks,2012,PhD,University of Glasgow,United Kingdom,,
T1001,A721240,Easing information extraction on the web through automated rules discovery,2016,PhD,University of Oxford,United Kingdom,,
T1030,A1691258,The justificatory structure of OWL ontologies,2013,PhD,University of Manchester,United Kingdom,,
T1039,A72185,Approximating true relevance model in relevance feedback,2013,PhD,Robert Gordon University,United Kingdom,,
T1043,A1969348,Discovering dynamic visemes,2013,PhD,University of East Anglia,United Kingdom,,
T1060,A1055291,Document ranking with quantum probabilities,2012,PhD,University of Glasgow,United Kingdom,,
T1113,A1078015,Wavelet methods for the statistical analysis of image texture,2013,PhD,Lancaster University,United Kingdom,,
T1135,A1040725,Argument revision and its role in dialogue,2013,PhD,University of Dundee,United Kingdom,,
T1158,A123252,Analysing political events on Twitter: topic modelling and user community classification,2019,PhD,University of Glasgow,United Kingdom,,
T1204,A427198,The inter-cloud meta-scheduling,2013,PhD,University of Derby,United Kingdom,,
T1252,A1481477,Network-aware big data processing,2017,PhD,Imperial College London,United Kingdom,,
T1283,A1495676,Exploiting surplus renewable energy in datacentre computing,2012,PhD,University of Cambridge,United Kingdom,,
T1286,A1967036,Tuning genetic programming performance via bloating control and a dynamic fitness function approach,2013,PhD,University of Manchester,United Kingdom,,
T1375,A589110,Machine learning analysis of the cultural and cross-cultural aspects of beauty in music,2013,PhD,Aberystwyth University,United Kingdom,,
T1398,A360277,Complex network analysis for secure and robust communications,2012,PhD,University of Cambridge,United Kingdom,,
T1449,A1051268,Knowledge-enhanced text classification: descriptive modelling and new approaches,2014,PhD,Queen Mary University of London,United Kingdom,,
T1480,A1288474,Personalized recommender systems on the social web,2017,PhD,University of Oxford,United Kingdom,,
T1496,A1319711,Energy efficient channel access mechanism for IEEE 802.11ah based networks,2018,PhD,Queen Mary University of London,United Kingdom,,
T1514,A140037,Anomaly detection in non-stationary and distributed environments,2014,PhD,University of Surrey,United Kingdom,,
T1531,A1697549,Discrete-time queueing model for responsive network traffic and bottleneck queues,2016,PhD,Loughborough University,United Kingdom,,
T1537,A114808,Federated Sensor Network architectural design for the Internet of Things (IoT),2013,PhD,Loughborough University,United Kingdom,,
T1545,A1731976,Query routing in cooperative semi-structured peer-to-peer information retrieval networks,2016,PhD,University of Glasgow,United Kingdom,,
T1603,A1396119,Partitioning workflow applications over federated clouds to meet non-functional requirements,2016,PhD,Newcastle University,United Kingdom,,
T1644,A700689,Algebraic methods for incremental maintenance and updates of views within XML databases,2014,PhD,University of Strathclyde,United Kingdom,,
T1652,A739876,Opinion-aware information management: statistical summarisation and knowledge representation of opinions,2015,PhD,Queen Mary University of London,United Kingdom,,
T1673,A591857,Bayesian networks for evidence based clinical decision support,2013,PhD,Queen Mary University of London,United Kingdom,,
T1684,A2224391,The impact of disjunction on reasoning under existential rules,2014,PhD,University of Oxford,United Kingdom,,
T1705,A898124,Cardiac motion and function analysis using MR imaging,2015,PhD,Imperial College London,United Kingdom,,
T1708,A1848978,Real-time simulation of rail vehicle dynamics,2017,PhD,Newcastle University,United Kingdom,,
T1731,A2304583,Minimal model reasoning for modal logic,2015,PhD,University of Manchester,United Kingdom,,
T1734,A276331,Lexical measurements for information retrieval: a quantum approach,2011,PhD,University of Glasgow,United Kingdom,,
T1763,A2205480,Computational intelligence for analysis concerning financial modelling and the adaptive market hypothesis,2012,PhD,University of York,United Kingdom,,
T1781,A360683,Understanding and exploiting user intent in community question answering,2014,PhD,Birkbeck,United Kingdom,,
T1818,A1214317,Learning to hash for large scale image retrieval,2016,PhD,University of Edinburgh,United Kingdom,,
T1825,A1685612,Declarative CAD feature recognition: an efficient approach,2015,PhD,Cardiff University,United Kingdom,,
T1845,A1026857,Privacy engineering for social networks,2013,PhD,University of Cambridge,United Kingdom,,
T1849,A653559,Modelling search and stopping in interactive information retrieval,2019,PhD,University of Glasgow,United Kingdom,,
T1914,A1357056,What lies above: using poetic methods to interrogate user positions across GNSS infrastructures,2018,PhD,Queen Mary University of London,United Kingdom,,
T1928,A1967335,Digitally queer: the use of video-mediated communication within the gay and lesbian community,2016,PhD,University of Kent,United Kingdom,,
T1941,A1296689,Modelling semantic search: the evolution of knowledge modelling; retrieval models and query processing,2011,PhD,Queen Mary University of London,United Kingdom,,
T2003,A355302,Semantic image understanding: from pixel to word,2012,PhD,University of Nottingham,United Kingdom,,
T2011,A1910138,Role of emotion in information retrieval,2012,PhD,University of Glasgow,United Kingdom,,
T2041,A1630873,News vertical search using user-generated content,2012,PhD,University of Glasgow,United Kingdom,,
T2069,A545831,The contextual evaluation framework: a prototype evaluation technique for e-Research,2011,PhD,University of Oxford,United Kingdom,,
T2079,A412663,A framework for processing correlated probabilistic data,2014,PhD,University of Oxford,United Kingdom,,
T2105,A518634,Tractable reasoning with quality guarantee for expressive description logics,2014,PhD,University of Aberdeen,United Kingdom,,
T2139,A1540672,Smartphones based social sensing: adaptive sampling; sensing and computation offloading,2013,PhD,University of Cambridge,United Kingdom,,
T2161,A2134915,An integrated clustering analysis framework for heterogeneous data,2016,PhD,University of East Anglia,United Kingdom,,
T2188,A1421607,Querying graphs with data,2014,PhD,University of Edinburgh,United Kingdom,,
T2203,A177383,Computational analysis of world music corpora,2018,PhD,Queen Mary University of London,United Kingdom,,
T2206,A2071012,Learning from interaction: models and applications,2012,PhD,University College London,United Kingdom,,
T2212,A1001314,Wireless sensor network control through statistical methods,2015,PhD,University of St Andrews,United Kingdom,,
T2248,A1047653,Information theoretic graph kernels,2014,PhD,University of York,United Kingdom,,
T2263,A893288,Guessing human-chosen secrets,2012,PhD,University of Cambridge,United Kingdom,,
T2266,A1206741,Clustering algorithms for large scale graph data,2017,PhD,Queen's University Belfast,United Kingdom,,
T2330,A695536,Privacy choices online: preferences; incentives and enforcement,2013,PhD,University of Cambridge,United Kingdom,,
T2342,A589654,Reducing uncertainty in environmental assessments of internet services,2015,PhD,University of Bristol,United Kingdom,,
T2374,A287571,Transfer learning for object category detection,2014,PhD,University of Oxford,United Kingdom,,
T2376,A1691225,Making distributed computing infrastructures interoperable and accessible for e-scientists at the level of computational workflows,2012,PhD,University of Westminster,United Kingdom,,
T2399,A1536838,A system for creating rich and interactive human digital memories,2014,PhD,Liverpool John Moores University,United Kingdom,,
T2403,A526076,Goal-driven collaborative filtering,2013,PhD,University College London,United Kingdom,,
T2415,A1966436,Energy-efficient cooperative single-carrier frequency-division multiple-access,2012,PhD,University of Southampton,United Kingdom,,
T2434,A2347501,Unsupervised ensemble learning and its application to temporal data clustering,2011,PhD,University of Manchester,United Kingdom,,
T2469,A1761159,Complementing user-level coarse-grain parallelism with implicit speculative parallelism,2012,PhD,University of Edinburgh,United Kingdom,,
T2501,A1337672,Named entity recognition: challenges in document annotation; gazetteer construction and disambiguation,2013,PhD,University of Sheffield,United Kingdom,,
T2506,A2074828,Deep learning and interpolation for featured-based pattern classification,2016,PhD,Aberystwyth University,United Kingdom,,
T2534,A1329980,Feature reduction and representation learning for visual applications,2016,PhD,Northumbria University,United Kingdom,,
T2569,A1135994,Distributed abductive reasoning: theory; implementation and application,2012,PhD,Imperial College London,United Kingdom,,
T2615,A464724,Automated domain-aware form understanding with OPAL: with a case study in the UK real-estate domain,2012,PhD,University of Oxford,United Kingdom,,
T2670,A36612,Efficient query processing in managed runtimes,2015,PhD,University of Edinburgh,United Kingdom,,
T2728,A736964,Entity type modeling for multi-document summarization: generating descriptive summaries of geo-located entities,2014,PhD,University of Sheffield,United Kingdom,,
T2754,A1285704,Application of common sense computing for the development of a novel knowledge-based opinion mining engine,2011,PhD,University of Stirling,United Kingdom,,
T2797,A1958943,The manipulation of schematic correspondences with the quantification of uncertainty in dataspaces,2013,PhD,University of Manchester,United Kingdom,,
