Name,Address,PostalCode,PhoneNumber,InstitutionsCategory,InstitutionsType
Bildungsnetzwerk Steiermark,Niesenbergergasse 59,8020,,,Erwachsenenbildung
ETC-Europäisches Trainings- u. Forschungszentrum für Menschenrechte,Elisabethstraße 50b,8010,+43(0)3163801530,,Erwachsenenbildung
Verwaltungsakademie Stadt Graz,Pestalozzistraße 59/3,8010,,,Erwachsenenbildung
ISOP Externe Hauptschule,Uhlandgasse 1/1,8010,+43(0)316381354,,Erwachsenenbildung
Wegener Zentrum für Klima u. Globalen Wandel der Uni Graz,Leechgasse 25,8010,+43(0)3163808430,,Erwachsenenbildung
AUFWIND,Otto-Loewi-Gasse 14/4/19,8042,,,Erwachsenenbildung
Peripherie,Friedrichgasse 3/II,8010,,,Erwachsenenbildung
Akademie für Neue Medien Wissenstransfer,Liebiggasse 9/II,8010,+43(0)3163809100,,Erwachsenenbildung
Berufsförderungsinstitut - bfi,Mariengasse 24,8020,,,Erwachsenenbildung
Institut CEF_Dr. Christian Ernst Fuchs; GmbH,Parkstraße 17,8010,,,Erwachsenenbildung
Montagsakademie; Zentrum für Weiterbildung,Harrachgasse 23,8010,+43(0)3163801104,,Erwachsenenbildung
Volksbildungswerk,Herdergasse 3,8010,+43(0)316321020,,Erwachsenenbildung
iilo - Institut für individuelle Leistungsoptimierung,Schörgelgasse 9,8010,+43(0)316818723,,Erwachsenenbildung
Didactica Superlearning Sprachinstitut,Münzgrabenstraße 88,8010,+43(0)316830157,,Erwachsenenbildung
VHS Volkshochschule Graz Stadt,Hans-Resel-Gasse 6,8020,,,Erwachsenenbildung
Evangelisches Bildungswerk Steiermark,Kaiser-Josef-Platz 9,8010,+43(0)316837245,,Erwachsenenbildung
Netzwerk Krainerhaus,Pfeifferhofweg 28,8045,+43(0)3166995213,,Erwachsenenbildung
AK Bildungsberatung,Hans-Resel-Gasse 8-14,8020,,,Erwachsenenbildung
Bildungshaus Mariatrost,Kirchbergstraße 18,8044,+43(0)316391131,,Erwachsenenbildung
Bildungshaus Raiffeisenhof,Krottendorfer Straße 81,8052,+43(0)31680507111,,Erwachsenenbildung
Bildungshaus Schloss St. Martin,Kehlbergstraße 35,8054,+43(0)316283655,,Erwachsenenbildung
Europahaus Graz,Nikolaiplatz 4c/o,8020,+43(0)316323554888,,Erwachsenenbildung
WIFI Steiermark,Körblergasse 111-113,8010,+43(0)3166021234,,Erwachsenenbildung
Volkswirtschaftliche Gesellschaft Steiermark,Freiheitsplatz 2,8010,+43(0)316830260,,Erwachsenenbildung
Urania,Burggasse 4/I,8010,+43(0)3168256880,,Erwachsenenbildung
Sozial- und Heilpädagogisches Förderungsinstitut,Blümelhofweg 12a,8044,+43(0)316392805,,Erwachsenenbildung
Ak-Bildungszentrum Otto Möbes Schule,Stiftingtalstraße 240,8010,,,Erwachsenenbildung
Inlingua-Language Competence Center,Rechbauerstraße 46,8010,+43(0)316824477,,Erwachsenenbildung
SteiGLS - Akademie,Schillerstraße 2,8010,+43(0)316386873,,Erwachsenenbildung
VHS der Kammer für Arbeiter und Angestellte für Stmk.,Merangasse 18,8010,+43(0)31677995000,,Erwachsenenbildung
LFI Ländliches Fortbildungsinstitut,Hamerlinggasse 3,8010,+43(0)31680501305,,Erwachsenenbildung
bit schulungscenter Nfg GmbH & Co KG,Kärntner Straße 311,8054,+43(0)316285550,,Erwachsenenbildung
FS Haidegg - Ferdinand Prirsch Schule,Ragnitzstraße 193,8047,+43(0)316301507,Höhere & Berufsbildende Schulen,Fachschule
FS Alt-Grottenhof - Ekkehard Hauer Schule,Krottendorfer Straße 110,8052,+43(0)316281561,Höhere & Berufsbildende Schulen,Fachschule
LA für Ehe- u. Familienberatung,Mesnergasse 5,8010,+43(0)3168041,Höhere & Berufsbildende Schulen,Humanberufliche Schule
BDVS Benko 2-jährig; dzt. stillgelegt,Freiheitsplatz 1,8010,,Höhere & Berufsbildende Schulen,Kaufmännische Schule
Privatgymnasium und ORG Ursulinen,Leonhardstraße 62,8010,+43(0)31632330011,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
HBLA f. Mode und Bekleidungstechnik,Ortweinplatz 1,8010,+43(0)316821192,Höhere & Berufsbildende Schulen,Höhere Bundeslehranstalt
FS St. Martin,Kehlbergstraße 35,8054,+43(0)31628365553,Höhere & Berufsbildende Schulen,Fachschule
BG Graz; Georgigasse (GIBS),Georgigasse 85-89,8020,+43(0)316771050,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
BG/BRG Graz; Kirchengasse,Kirchengasse 5,8010,+43(0)316687404,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
BORG Graz; Monsbergergasse,Monsbergergasse 16,8010,+43(0)316463501,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
Gesundheits- u. Krankenpflegeschule; Kinder u. Jugendl.,Auenbruggerplatz 24,8036,+43(0)3163852481,Höhere & Berufsbildende Schulen,Humanberufliche Schule
Gesundheits- u. Krankenpflegeschule; Vorbereitung,Auenbruggerplatz 24,8036,+43(0)3163852600,Höhere & Berufsbildende Schulen,Humanberufliche Schule
BG/BORG Graz-Liebenau (HIB),Kadettengasse 19,8041,+43(0)316472588,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
BG/BRG für Berufstätige,Marschallgasse 19-21,8020,+43(0)316318899,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
Kolleg für Sozialpädagogik,Lange Gasse 2,8010,+43(0)31658167027,Höhere & Berufsbildende Schulen,Humanberufliche Schule
Privates ORG Schulschwestern,Georgigasse 84,8020,+43(0)316583341,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
BG/BRG f. Berufstätige; Graz,Lichtenfelsgasse 3-5,8010,+43(0)316318899,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
HLA Techn. Chemie u. UmwelttechnikKolleg,Triester Straße 361,8020,+43(0)31638115316,Höhere & Berufsbildende Schulen,Höhere technische - gewerbliche Lehranstalt
FS w.Berufe Caritas,Grabenstraße 41,8010,+43(0)3168015435,Höhere & Berufsbildende Schulen,Fachschule
LA für Sozialbetreuungsberufe; Diözese Graz-Seckau,Wielandgasse 31,8010,+43(0)3168241510,Höhere & Berufsbildende Schulen,Humanberufliche Schule
Schule für med.-tech. Fachdienst,Wagner-Jauregg-Platz 23,8053,+43(0)31621912652,Höhere & Berufsbildende Schulen,Fachschule
BHAK/BHAS Graz; Grazbachgasse,Grazbachgasse 71,8010,+43(0)3168294560,Höhere & Berufsbildende Schulen,Kaufmännische Schule
BG/BRG Graz; Pestalozzistraße,Pestalozzistraße 5,8010,+43(0)316830387,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
Privatschule Uranschek,Glockenspielplatz 5,8010,+43(0)316830246,Höhere & Berufsbildende Schulen,Kaufmännische Schule
BBA Graz,Grottenhofstraße 150,8052,+43(0)316284269,Höhere & Berufsbildende Schulen,Humanberufliche Schule
Werkmeisterlehrgang Maschinenbau BT WIFI,Körblergasse 111-113,8010,+43(0)316602263,Höhere & Berufsbildende Schulen,Höhere technische - gewerbliche Lehranstalt
BG/BRG Graz; Carnerigasse,Carnerigasse 30-32,8010,+43(0)316683433,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
Modellschule Graz,Fröbelgasse 28,8020,+43(0)316672982,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
HLW f. wirt.Berufe; Schulschwestern,Georgigasse 84,8020,+43(0)316583341,Höhere & Berufsbildende Schulen,Höhere Bundeslehranstalt
Bisch. Gymnasium; Graz,Lange Gasse 2,8010,+43(0)316682601,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
BG/BRG Graz; Lichtenfelsgasse,Lichtenfelsgasse 3-5,8010,+43(0)316321226,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
HBLA Schrödingerstraße,Schrödingerstraße 5,8020,+43(0)316714802,Höhere & Berufsbildende Schulen,Höhere Bundeslehranstalt
BRG Graz; Petersgasse,Petersgasse 110,8010,+43(0)316463246,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
Lernen kann heilen helfen,Körösistraße 155,8010,,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
Private HLLH Schulschwestern,Georgigasse 84,8020,+43(0)316583341,Höhere & Berufsbildende Schulen,Fachschule
Privatgymnasium Sacre Coeur,Petersgasse 1,8010,+43(0)31682800612,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
WIKU BRG,Sandgasse 40,8010,+43(0)316471511,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
BRG Graz; Körösistraße,Körösistraße 155,8010,+43(0)316672060,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
HTBLVA Gösting (BULME),Ibererstraße 15-21,8051,+43(0)31660810,Höhere & Berufsbildende Schulen,Höhere technische - gewerbliche Lehranstalt
HTBLVA Ortweingasse,Körösistraße 157,8013,+43(0)3166084,Höhere & Berufsbildende Schulen,Höhere technische - gewerbliche Lehranstalt
BORG Dreierschützengasse,Dreierschützengasse 15,8020,+43(0)316682385,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
BDV Benko 3-jährig,Freiheitsplatz 1,8010,+43(0)316822172,Höhere & Berufsbildende Schulen,Kaufmännische Schule
BRG Graz; Keplerstraße,Keplerstraße 1,8020,+43(0)316714712,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
BG/BRG Graz; Seebachergasse,Seebachergasse 11,8010,+43(0)316322059,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
BG/BRG Graz; Oeverseegasse,Oeverseegasse 28,8020,+43(0)316712271,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
BG/BRG Graz; Dreihackengasse,Dreihackengasse 11,8020,+43(0)316712246,Höhere & Berufsbildende Schulen,Allgemein bildende höhere Schule
Gesundheits- u. Krankenpflegeschule,Auenbruggerplatz 24,8036,+43(0)3163852431,Höhere & Berufsbildende Schulen,Humanberufliche Schule
Psychiatr. Gesundheits- u. Krankenpflegeschule,Wagner-Jauregg-Platz 23,8053,+43(0)31621912470,Höhere & Berufsbildende Schulen,Fachschule
BAfL Graz,Engelgasse 56,8010,+43(0)316327980,Höhere & Berufsbildende Schulen,Fachschule
Schule für Sozialbetr./Altenarbeit d. Diakoniewerkes,Krottendorfer Straße 81,8052,+43(0)316281371,Höhere & Berufsbildende Schulen,Fachschule
HLA f.w.B.; Sozialmanagement,Grabenstraße 41,8010,+43(0)3168015430,Höhere & Berufsbildende Schulen,Humanberufliche Schule
