XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT3;HERKUNFT;PHI;LAMBDA
1716619,37;5953436,866;1;Bildungsnetzwerk Steiermark;Niesenbergerstraße 59;8020;Graz;+43(0)821373;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,069569;15,420654
1720531,267;5954370,069;2;ETC-Europäisches Trainings- u. Forschungszentrum für Menschenrechte ;Elisabethstraße 50b;8010;Graz;+43(0)316/380-1530;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,075279;15,455795
1718581,035;5951929,866;3;Verwaltungsakademie Stadt Graz;Pestalozzistraße 59/3;8010;Graz;-;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,060349;15,438276
1720063,055;5953158,265;4;ISOP  Externe Hauptschule;Uhlandgasse 1/1;8010;Graz;+43(0)316/381354;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,067863;15,45159
1720430,366;5954739,551;5;Wegener Zentrum für Klima u. Globalen Wandel der Uni Graz;Leechgasse 25;8010;Graz;+43(0)316/380-8430;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,077538;15,454889
1721845,148;5951521,336;6;AUFWIND;Otto-Loewi-Gasse 14/4/19;8042;Graz;+43(0)650/3657459;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,057846;15,467598
1718420,049;5952800,2;7;Peripherie;Friedrichgasse 3/II;8010;Graz;-;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,065674;15,43683
1720076,85;5955116,396;8;Akademie für Neue Medien Wissenstransfer;Liebiggasse 9/II;8010;Graz;+43(0)316/380-9100;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,079845;15,451714
1716769,737;5954474,189;9;Berufsförderungsinstitut - bfi;Mariengasse 24;8020;Graz;+43(0)5/7270-2251;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,075916;15,422005
1719049,078;5954858,057;10;Institut CEF_Dr. Christian Ernst Fuchs, GmbH ;Parkstraße 17;8010;Graz;+43(0)5/75010;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,078262;15,442481
1719714,883;5954733,243;11;Montagsakademie, Zentrum für Weiterbildung;Harrachgasse 23;8010;Graz;+43(0)316/380-1104;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,077499;15,448462
1720300,36;5955283,441;12;Volksbildungswerk;Herdergasse 3;8010;Graz;+43(0)316/321020;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,080864;15,453721
1719848,261;5952933,094;13;iilo - Institut für individuelle Leistungsoptimierung;Schörgelgasse ;8010;Graz;+43(0)316/818723;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,066486;15,449659
1720090,223;5951882,039;14;Didactica Superlearning Sprachinstitut;Münzgrabenstraße 88;8010;Graz;+43(0)316/830157;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,060055;15,451834
1717083,674;5953790,825;15;VHS Volkshochschule Graz Stadt;Hans-Resel-Gasse 6;8020;Graz;+43(0)5/7799-5000;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,071735;15,424825
1719475,144;5953206,363;16;Evangelisches Bildungswerk Steiermark;Kaiser-Josef-Platz 9;8010;Graz;+43(0)316/837245;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,068157;15,446308
1717669,391;5959356,572;17;Netzwerk Krainerhaus;Pfeifferhofweg 28;8045;Graz;+43(0)316/6995-213;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,105778;15,430087
1717081,546;5953808,611;18;AK Bildungsberatung;Hans-Resel-Gasse 8-14;8020;Graz;+43(0)5/7799-2351;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,071842;15,424806
1724612,62;5959429,854;19;Bildungshaus Mariatrost;Kirchbergstraße 18;8044;Graz;+43(0)316/391131;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,106224;15,492458
1713261,658;5950147,118;20;Bildungshaus Raiffeisenhof;Krottendorfer Straße 81;8052;Graz;+43(0)316/8050-7111;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,049438;15,390491
1713161,829;5947862,152;21;Bildungshaus Schloss St. Martin;Kehlbergstraße 35;8054;Graz;+43(0)316/283655;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,03545;15,389594
1718055,177;5953138,838;22;Europahaus Graz;Nikolaiplatz 4c/o EUropäisches Fremdsprachenzentrum;8020;Graz;+43(0)316/323554-888;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,067745;15,433552
1718627,582;5956376,851;23;WIFI Steiermark;Körblergasse 111-113;8010;Graz;+43(0)316/602-1234;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,087555;15,438694
1718845,949;5953960,987;24;Volkswirtschaftliche Gesellschaft Steiermark;Freiheitsplatz 2;8010;Graz;+43(0)316/830-260;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,072777;15,440656
1719125,069;5953673,151;25;Urania;Burggasse 4/I;8010;Graz;+43(0)316/825688-0;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,071014;15,443163
1719159,773;5953716,89;26;Urania;Burggasse 4/I;8010;Graz;+43(0)316/825688-0;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,071281;15,443475
1723783,746;5959547,793;27;Sozial- und Heilpädagogisches Förderungsinstitut;Blümelhofweg 12a;8044;Graz;+43(0)316/392805;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,106945;15,485013
1725178,896;5957171,354;28;Ak-Bildungszentrum Otto Möbes Schule;Stiftingtalstraße  240;8010;Graz;+43(0)5/7270;Erwachsenenbildung;Stadt Graz - Stadtvermessung;47,092415;15,497545
