Grazer Straßencode;Straßenbezeichnung;Bezirk;
0001;Abraham-a-Santa-Clara-Gasse;1;
0002;Absengerstraße;14;
0003;Abstallerstraße;15;
0021;Ackergasse;6;
0036;Adalbert-Stifter-Gasse;5;
0038;Adlergasse;17;
0039;Admonter Gasse;1;
0040;Adolf-Kolping-Gasse;6;
0066;Afritschgasse;4;
0076;Ägydigasse;5;
0092;Aigner-Rollett-Allee;3;
0106;Alberstraße;2;
0114;Albert-Schweitzer-Gasse;5;
0108;Albrechtgasse;1;
0109;Alexander-Rollett-Weg;3;
0100;Alfafarweg;7;
0111;Alfred-Coßmann-Gasse;16;
0110;Algersdorfer Straße;14;
0115;Allerheiligenweg;14;
0104;Alois-Kabelka-Weg;15;
0113;Alpassy-Pastirk-Gasse;12;
0112;Alte Poststraße;4,5,14,15,16,17;
0120;Am Aigen;12;
0126;Am Andritzbach;12;
0191;Am Arlandgrund;12;
0127;Am Bergl;8;
0192;Am Blumenhang;9;
0117;Am Bründlbach;16;
0175;Am Buchkogel;16;
0128;Am Damm;4;
0129;Am Dominikanergrund;11;
0176;Am Dürrgraben;12;
0121;Am Eichbach;7;
0133;Am Eichengrund;12;
0116;Am Eisbach;17;
0130;Am Eisernen Tor;1;
0107;Am Engelsdorfgrund;7;
0137;Am Fichtengrund;14;
0152;Am Föhrengrund;12;
0131;Am Freigarten;4;
0132;Am Fröbelpark;4;
0134;Am Fuße des Schloßberges;1;
0177;Am Grabenwald;14;
0135;Am Hofacker;3;
0122;Am Hüttenbrenneranger;12;
0205;Am Innovationspark;5;
0118;Am Jägergrund;16;
0154;Am Josefbach;11;
0155;Am Josefgrund;11;
0136;Am Katzelbach;16;
0125;Am Klammbach;11;
0156;Am Langedelwehr;6;
0138;Am Leonhardbach;9;
0187;Am Leopoldsgrund;17;
0119;Am Lindenhof;11;
0139;Am Lindenkreuz;5;
0123;Am Linegg;12;
0193;Am Mariagrüner Wald;11;
0140;Am Mühlengrund;17;
0178;Am Mühlgraben;7;
0141;Am Ölberg;15;
0124;Am Pfangberg;12;
0142;Am Ragnitzbach;9;
0179;Am Raketengrund;9;
0143;Am Rehgrund;11;
0144;Am Ring;9;
0151;Am Schönborngrund;11;
9001;Am Sonnenhang;Gem. Seiersberg;
0145;Am Stadlgrund;12;
0146;Am Stübingeracker;17;
0147;Am Wagrain;16,17;
0153;Am Wasserspiel;10;
0180;Am Weinhang;16;
0194;Ambrosigasse;8;
0184;Ampfererweg;7;
0148;Amreichstraße;15;
0149;Amschlgasse;3;
0150;Amselgasse;5;
0197;Amundsengasse;3;
0165;An der Kanzel;12;
0173;Andersengasse;7;
0157;Andrägasse;5;
0158;Andreas-Hofer-Platz;1;
0159;Andreas-Hofer-Straße;14;
0209;Andritzer Hauptplatz;12;
0160;Andritzer Reichsstraße;12;
0211;Angelo-Eustacchio-Gasse;9;
0161;Angergasse;6,7;
0174;Anglergasse;12;
0183;Anichgasse;13;
0185;Ankerstraße;16;
0162;Annaplatz;14;
0163;Annaweg;14;
0164;Annenstraße;4,5;
0212;Anselm-Franz-Gasse;17;
0172;Anthauerweg;16;
0166;Anton-Füster-Weg;3;
0167;Anton-Gerstl-Straße;4,14;
0189;Anton-Jandl-Weg;8;
0168;Anton-Kleinoscheg-Straße;13;
0171;Anton-Leb-Gasse;3;
0188;Anton-Lehmann-Gasse;8;
0190;Anton-Lippe-Platz;7;
0181;Anton-Mell-Weg;16;
0214;Anton-Paar-Straße;16;
0182;Anton-Schwarz-Gasse;12;
0169;Anton-Wildgans-Weg;11;
0170;Anzengrubergasse;6;
0186;Apothekerweg;11;
0195;Arche Noah;5;
0196;Archerweg;15;
0198;Argenotstraße;9,10;
0199;Aribonenstraße;16;
0200;Arndtgasse;6;
0202;Arnethgasse;15;
0213;Arnikaweg;8;
0201;Arnold-Luschin-Gasse;5;
0203;Arthur-March-Gasse;17;
0204;Arthur-Schnitzler-Gasse;12;
0208;Artur-Michl-Gasse;8;
0218;Aspachgasse;13;
0217;Aspasiagasse;10;
0216;Asperngasse;4;
0241;Attemsgasse;3;
0265;Auenbruggerplatz;3;
0257;Auersperggasse;3;
0258;Auer-Welsbach-Gasse;17;
0268;Auf der Heide;7;
0255;Auf der Murwiese;7;
0259;Auf der Tändelwiese;5;
0261;Augasse;4,13;
0262;August-Musger-Gasse;3;
0263;Austeingasse;4;
0267;Autaler Straße;8;
0270;Auwaldgasse;7;
0271;Auwiesenweg;17;
0300;Babenbergerstraße;4;
0301;Bachweg;8;
0321;Bäckerweg;16;
0303;Baden-Powell-Allee;1;
0304;Badgasse;1;
0305;Bahnhofgürtel;4;
0307;Bahnhofstraße;16;
0309;Bahnweg;7;
0310;Baiernhofweg;14;
0311;Baiernstraße;14;
0312;Ballhausgasse;1;
0320;Banngrabenweg;7,8;
0323;Bärlauchweg;17;
0313;Bauernfeldstraße;14;
0314;Baumgasse;12;
0315;Baumkircherstraße;4;
0316;Baumschulgasse;3;
0351;Beethovenstraße;2,3;
0352;Belgiergasse;5;
0353;Bergmanngasse;3;
0355;Bergstraße;14;
0354;Berliner Ring;9;
0360;Berschenygasse;17;
0361;Berthold-Linder-Weg;2,9;
0358;Bessemergasse;5;
0359;Bethlehemgasse;5;
0401;Bienengasse;4;
0404;Billrothgasse;10;
0402;Bindergasse;1;
0406;Birkenhang;9;
0405;Birkenweg;17;
0403;Bischofplatz;1;
0454;Blasbauerweg;13;
0451;Blümelhofweg;11;
0452;Blümelstraße;14;
0453;Blütengasse;3;
0481;Bodenfeldgasse;14;
0482;Bogengasse;3;
0485;Borromäumgasse;6;
0486;Boschweg;7;
0483;Bozener Straße;5;
0511;Brahmsstraße;6;
0510;Brandauerweg;16;
0512;Brandhofgasse;2,3 ;
0514;Brauhausstraße;14,15;
0516;Brehmstraße;15;
0517;Breitenweg;8,9;
0526;Bresslern-Roth-Weg;13;
0528;Breunergasse;13;
0518;Brockmanngasse;2,6;
0519;Brückengasse;5;
0520;Brückenkopfgasse;5;
0521;Brucknerstraße;6;
0523;Brüder-Renner-Weg;17;
0522;Bründlgasse;16;
0529;Brunnerweg;14,15;
0524;Brunnfeldweg;17;
0525;Brunngasse;3;
0571;Buchenweg;6;
0572;Buchkogelgasse;5;
0573;Buhnengasse;4;
0574;Bunsengasse;4;
0581;Burenstraße;14,15;
0577;Burgenlandstraße;14;
0578;Bürgergasse;1;
0582;Bürgerspitalgasse;5;
0527;Burgfriedweg;9;
0583;Burggarten;1;
0579;Burggasse;1;
0580;Burgring;1;
0600;Carlonegasse;17;
0603;Carl-Spitzweg-Gasse;8;
0601;Carnerigasse;3;
0602;Casalgasse;7;
0641;Charlottendorfgasse;3;
0649;Christophorusgrund;16;
0662;Conduzzigasse;11;
0664;Conrad-Kreuzer-Gasse;16;
0661;Conrad-von-Hötzendorf-Straße;6,7;
0663;Corneliusweg;13;
0665;Costellagasse;13;
0669;Coventrypromenade;1;
0676;Custozzagasse;5;
0704;Dahlienweg;16;
0703;Daimlerweg;7;
0700;Dammweg;8;
0705;Darmstadtgasse;4;
0701;Daungasse;4;
0702;Davidgasse;1;
0710;David-Herzog-Platz;5;
0720;Dechant-Binder-Anlage;13;
0730;Defreggergasse;5;
0731;Denggasse;8;
0732;Dennigweg;12;
0762;Dieselweg;7;
0761;Dietrichsteinplatz;2,6;
0781;Doblergasse;4;
0790;Dolezalgasse;13;
0782;Dominikanergasse;5;
0783;Dominikanerriegel;4;
0789;Don-Bosco-Weg;15;
0785;Dorfstraße;7;
0788;Dornauweg;16;
0786;Dorngasse;4;
0787;Dornschneidergasse;5;
0792;Dorothee-Sölle-Weg;5;
0854;Dr.-Anton-Schlossar-Weg;9;
0831;Dr.-Anton-Weg;16;
0832;Dr.-Bruno-Ertler-Straße;11;
0833;Dr.-Eckener-Straße;11;
0852;Dr.-Emperger-Weg;15;
0851;Dr.-Hanisch-Weg;10;
0836;Dr.-Hans-Kloepfer-Straße;14;
0835;Dr.-Hans-Spitzy-Platzl;5;
0834;Dr.-Heschl-Weg;16;
0837;Dr.-Ignaz-Scarpatetti-Straße;15;
0857;Dr.-Johannes-Ude-Gasse;12;
0838;Dr.-Kamniker-Straße;16;
0856;Dr.-Karl-Böhm-Allee;1;
0839;Dr.-Karl-Lueger-Straße;13;
0840;Dr.-Lemisch-Straße;16;
0841;Dr.-Lister-Gasse;7;
0843;Dr.-Muck-Anlage;1;
