XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT2;KAT3;HERKUNFT;PHI;LAMBDA
1725429,19350000;5954996,05170000;1;FS Haidegg - Ferdinand Prirsch Schule;Ragnitzstraße 193;8047;Graz;+43(0)316/301507;Höhere & Berufsbildende Schulen;Fachschule;Stadt Graz - Stadtvermessung;47,079109;15,499794
1712781,87910000;5949543,64790000;2;FS Alt-Grottenhof - Ekkehard Hauer Schule;Krottendorfer Straße 110;8052;Graz;+43(0)316/281561;Höhere & Berufsbildende Schulen;Fachschule;Stadt Graz - Stadtvermessung;47,045742;15,386182
1709853,73560000;5951562,02240000;3;FS Grottenhof-Hardt;Hardter Straße 27;8052;Thal;+43(0)316/583238;Höhere & Berufsbildende Schulen;Fachschule;Stadt Graz - Stadtvermessung;47,058098;15,359878
1718914,06200000;5953470,46740000;4;LA für Ehe- u. Familienberatung;Mesnergasse 5;8010;Graz;+43(0)316/8041;Höhere & Berufsbildende Schulen;Humanberufliche Schule;Stadt Graz - Stadtvermessung;47,069775;15,441268
1718844,32810000;5953922,76500000;5;BDVS Benko 2-jährig, dzt. stillgelegt;Freiheitsplatz 1;8010;Graz;+43(0);Höhere & Berufsbildende Schulen;Kaufmännische Schule;Stadt Graz - Stadtvermessung;47,072540;15,440641
1720588,52460000;5954172,69790000;6;Privatgymnasium und ORG Ursulinen;Leonhardstraße 62;8010;Graz;+43(0)316/323300-11;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,074070;15,456309
1719217,47150000;5952426,71460000;7;HBLA f. Mode und Bekleidungstechnik;Ortweinplatz 1;8010;Graz;+43(0)316/821192;Höhere & Berufsbildende Schulen;Höhere Bundeslehranstalt;Stadt Graz - Stadtvermessung;47,063389;15,443994
1713161,82860000;5947862,15230000;8;FS St. Martin;Kehlbergstraße 35;8054;Graz;+43(0)316/283655-53;Höhere & Berufsbildende Schulen;Fachschule;Stadt Graz - Stadtvermessung;47,035450;15,389594
1713791,60180000;5954419,23940000;9;BG Graz, Georgigasse (GIBS);Georgigasse 85-89;8020;Graz;+43(0)316/771050;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,075581;15,395252
1718772,12120000;5955433,71860000;10;BG/BRG Graz, Kirchengasse;Kirchengasse 5;8010;Graz;+43(0)316/687404;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,081783;15,439993
1720119,06610000;5951235,74760000;11;BORG Graz, Monsbergergasse;Monsbergergasse 16;8010;Graz;+43(0)316/463501;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,056099;15,452092
1721783,23130000;5956041,42390000;12;Gesundheits- u. Krankenpflegeschule, Kinder u. Jugendl.;Auenbruggerplatz 24;8036;Graz;+43(0)316/385-2481;Höhere & Berufsbildende Schulen;Humanberufliche Schule;Stadt Graz - Stadtvermessung;47,085503;15,467042
1721783,23130000;5956041,42390000;13;Gesundheits- u. Krankenpflegeschule, Vorbereitung;Auenbruggerplatz 24;8036;Graz;+43(0)316/385-2600;Höhere & Berufsbildende Schulen;Humanberufliche Schule;Stadt Graz - Stadtvermessung;47,085503;15,467042
1720672,54710000;5948242,27950000;14;BG/BORG Graz-Liebenau (HIB);Kadettengasse 19;8041;Graz;+43(0)316/472588;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,037777;15,457065
1717727,51370000;5954015,61460000;15;BG/BRG für Berufstätige;Marschallgasse 19-21;8020;Graz;+43(0)316/318899;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,073109;15,430609
1718527,92000000;5955475,89420000;16;Kolleg für Sozialpädagogik;Lange Gasse 2;8010;Graz;+43(0)316/581670-27;Höhere & Berufsbildende Schulen;Humanberufliche Schule;Stadt Graz - Stadtvermessung;47,082043;15,437799
1713933,37580000;5954400,52500000;17;Privates ORG Schulschwestern;Georgigasse 84;8020;Graz;+43(0)316/583341;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,075466;15,396525
1719923,18240000;5954184,64610000;18;BG/BRG f. Berufstätige, Graz;Lichtenfelsgasse 3-5;8010;Graz;+43(0)316/318899;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,074142;15,450333
1717954,60430000;5946860,88400000;19;HLA Techn. Chemie u. UmwelttechnikKolleg;Triester Straße 361;8020;Graz;+43(0)316/381153-16;Höhere & Berufsbildende Schulen;Höhere technische - gewerbliche Lehranstalt;Stadt Graz - Stadtvermessung;47,029320;15,432649
1718332,73670000;5955757,11850000;20;FS w.Berufe Caritas;Grabenstraße 41;8010;Graz;+43(0)316/8015-435;Höhere & Berufsbildende Schulen;Fachschule;Stadt Graz - Stadtvermessung;47,083763;15,436046
1718692,78470000;5952191,93250000;21;LA für Sozialbetreuungsberufe, Diözese Graz-Seckau;Wielandgasse 31;8010;Graz;+43(0)316/824151-0;Höhere & Berufsbildende Schulen;Humanberufliche Schule;Stadt Graz - Stadtvermessung;47,061951;15,439280
1716556,86190000;5947855,60350000;22;Schule für med.-tech. Fachdienst ;Wagner-Jauregg-Platz 23;8053;Graz;+43(0)316/2191-2652;Höhere & Berufsbildende Schulen;Fachschule;Stadt Graz - Stadtvermessung;47,035408;15,420093
1718540,89170000;5952560,62780000;23;BHAK/BHAS Graz, Grazbachgasse;Grazbachgasse 71;8010;Graz;+43(0)316/829456-0;Höhere & Berufsbildende Schulen;Kaufmännische Schule;Stadt Graz - Stadtvermessung;47,064209;15,437916
1718529,87750000;5952762,20240000;24;BG/BRG Graz, Pestalozzistraße;Pestalozzistraße 5;8010;Graz;+43(0)316/830387;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,065441;15,437817
1718918,86100000;5953678,93400000;25;Privatschule Uranschek;Glockenspielplatz 5;8010;Graz;+43(0)316/830246;Höhere & Berufsbildende Schulen;Kaufmännische Schule;Stadt Graz - Stadtvermessung;47,071049;15,441311
1712957,43350000;5949734,01330000;26;BBA Graz;Grottenhofstraße 150;8052;Graz;+43(0)316/284269;Höhere & Berufsbildende Schulen;Humanberufliche Schule;Stadt Graz - Stadtvermessung;47,046909;15,387758
