XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;BEMERKUNG;KAT2;KAT3;HERKUNFT;PHI;LAMBDA
1719674,17740000;5952637,68100000;1;VS Graz-Krones;Münzgrabenstraße 18;8010;Graz;+43(0)316/872-6980;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,064678;15,448096
1717974,58710000;5952402,32740000;2;VS Graz-Bertha v. Suttner;Lagergasse 41;8020;Graz;+43(0)316/872-6750;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,06324;15,432828
1713594,55190000;5950807,73470000;3;VS Graz-Peter Rosegger;Loewegasse 8;8052;Graz;+43(0)316/872-7040;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,053478;15,393482
1714354,42290000;5948895,28940000;4;Private Realschule Graz-Webling;Unterer Bründlweg 19;8053;Graz;+43(0)316/872-6965;-;Pflichtschulen;Realschule;Stadt Graz - Stadtvermessung;47,041775;15,400308
1719997,05580000;5958275,37010000;5;VS Graz-Mariagrün;Mariagrüner Straße 87;8043;Graz;+43(0)316/872-6820;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,099167;15,450996
1717734,16820000;5953382,38760000;6;VS Graz-St. Andrä;Grenadiergasse 1;8020;Graz;+43(0)316/872-6900;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,069237;15,430669
1717230,24580000;5954377,86150000;7;HS Graz-Kepler;Keplerstraße 52;8020;Graz;+43(0)316/872-6935;-;Pflichtschulen;Neue Mittelschule;Stadt Graz - Stadtvermessung;47,075325;15,426142
1721944,35300000;5958038,06450000;8;HS Graz-St. Johann;Mariatroster Straße 128;8043;Graz;+43(0)316/872-6705;-;Pflichtschulen;Neue Mittelschule;Stadt Graz - Stadtvermessung;47,097713;15,46849
1714354,42290000;5948895,28940000;9;HS Graz-Webling;Unterer Bründlweg 19;8053;Graz;+43(0)316/872-6965;-;Pflichtschulen;Neue Mittelschule;Stadt Graz - Stadtvermessung;47,041775;15,400308
1717879,79370000;5949944,87830000;10;ASO Graz-Triester;Reiherstadlgasse 50;8020;Graz;+43(0)316/872-6858;-;Pflichtschulen;Sonderschule für Kinder mit sonderpäd. Förderbedarf;Stadt Graz - Stadtvermessung;47,048199;15,431976
1718624,51820000;5952003,50890000;11;Sprachheilschule Graz ;Brockmanngasse 119;8010;Graz;+43(0)316/872-6725;-;Pflichtschulen;Sonderschule für Kinder mit sonderpäd. Förderbedarf;Stadt Graz - Stadtvermessung;47,060799;15,438666
1713007,00060000;5950012,41920000;12;Privatschule OK - Ort f. Kinder;Krottendorfer Straße 91;8052;Graz;+43(0)316/578214;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,048611;15,388204
1716127,96470000;5955937,95350000;13;Integrative Volksschule der Landessonderschule;Kalvariengürtel 64;8020;Graz;+43(0)316/672136-14;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,084869;15,41624
1718096,30920000;5955573,78500000;14;Praxis HS der Päd.Hochschule in Stmk.;Hasnerplatz 12;8010;Graz;+43(0)316/8067-1222;-;Pflichtschulen;Neue Mittelschule;Stadt Graz - Stadtvermessung;47,082642;15,433922
1717816,73700000;5953435,81500000;15;HS Graz-St. Andrä;Kernstockgasse 1;8020;Graz;+43(0)316/872-6905;-;Pflichtschulen;Neue Mittelschule;Stadt Graz - Stadtvermessung;47,069561;15,43141
1721154,93450000;5951346,25080000;16;HS Graz-St. Peter;Brucknerstraße 53;8010;Graz;+43(0)316/872-7015;-;Pflichtschulen;Neue Mittelschule;Stadt Graz - Stadtvermessung;47,056774;15,461398
1714423,01110000;5945387,25730000;17;HS Graz-Straßgang;Aribonenstraße 14;8054;Graz;+43(0)316/872-6955;-;Pflichtschulen;Neue Mittelschule;Stadt Graz - Stadtvermessung;47,020294;15,400924
1714403,10660000;5952978,31810000;18;HS Graz-Karl Morre;Karl-Morre-Straße 58;8020;Graz;+43(0)316/872-6975;-;Pflichtschulen;Neue Mittelschule;Stadt Graz - Stadtvermessung;47,066765;15,400745
1714451,59530000;5954271,40420000;19;HS Graz-Algersdorf;Algersdorfer Straße 11;8020;Graz;+43(0)316/872-6765;-;Pflichtschulen;Neue Mittelschule;Stadt Graz - Stadtvermessung;47,074677;15,40118
1718247,93360000;5954050,15150000;20;Sr. Klara Fietz - Priv. VS der Schulschwestern;Kaiser-Franz-Josef-Kai 18;8010;Graz;+43(0)316/829551;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,073322;15,435284
1720888,23330000;5952031,07970000;21;Private VS des Vereines Projektschule Graz;Moserhofgasse 3a;8010;Graz;+43(0)316/474250;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,060966;15,459002
1720564,19330000;5954161,54180000;22;Private HS der Ursulinen;Leonhardstraße 62;8010;Graz;+43(0)316/323300-20;-;Pflichtschulen;Neue Mittelschule;Stadt Graz - Stadtvermessung;47,074001;15,456091
1721789,47100000;5952981,04700000;23;VS Graz-Waltendorf;Waltendorfer Hauptstraße 17;8010;Graz;+43(0)316/872-7060;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,06678;15,467098
1721447,69560000;5954783,46970000;24;VS Odilien;Leonhardstraße 130;8010;Graz;+43(0)316/327075;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,077808;15,464027
1715693,36830000;5960897,55250000;25;VS Graz-St. Veit;St.-Veiter-Straße 76;8046;Graz;+43(0)316/872-7090;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,115196;15,412335
1714366,63650000;5945510,37280000;26;VS Graz-Straßgang;Kärntner Straße 431;8054;Graz;+43(0)316/872-6950;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,021049;15,400417
1724063,97720000;5959143,18640000;27;VS Graz-Mariatrost;Mariatroster Straße 194;8044;Graz;+43(0)316/872-6880;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,104473;15,48753
1715153,02930000;5954249,65980000;28;VS Graz-Leopoldinum;Alte Poststraße 106;8020;Graz;+43(0)316/872-6790;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,074543;15,407482
1720782,58100000;5948561,31340000;29;VS Graz-Liebenau;Puntigamer Straße 5;8041;Graz;+43(0)316/872-6810;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,03973;15,458053
1718096,30920000;5955573,78500000;30;Praxis VS der Päd. Hochschule;Hasnerplatz 12;8010;Graz;+43(0)316/8067-1222;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,082642;15,433922
1714403,10660000;5952978,31810000;31;VS Graz-Karl Morre;Karl-Morre-Straße 58;8020;Graz;+43(0)316/872-6970;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,066765;15,400745
1721117,20030000;5951293,09760000;32;VS Graz-Neufeld;Brucknerstraße 51;8010;Graz;+43(0)316/872-7010;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,05645;15,461059
1714451,59530000;5954271,40420000;33;VS Graz-Algersdorf;Algersdorfer Straße 11;8020;Graz;+43(0)316/872-6760;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,074677;15,40118
1716156,45120000;5949297,91080000;34;VS Graz-Neuhart;Kapellenstraße 100;8053;Graz;+43(0)316/872-7020;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,044239;15,416495
1716814,54020000;5958879,59550000;35;VS Graz-Viktor-Kaplan;Andritzer Reichsstraße 35b;8045;Graz;+43(0)316/872-6860;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,102859;15,422407
1716935,87390000;5959638,99340000;36;VS Graz-Andritz;Prochaskagasse 9;8045;Graz;+43(0)316/872-6730;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,107502;15,423497
1722126,97970000;5951957,63660000;37;VS Graz-Eisteich;Eisteichgasse 14;8042;Graz;+43(0)316/872-6770;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,060516;15,47013
1712987,41790000;5952966,20940000;38;VS Graz-Baiern;Baiernstraße 86;8020;Graz;+43(0)316/872-6740;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,066689;15,388028
1721511,75340000;5947389,96010000;39;VS Graz-Engelsdorf;Liebenauer Hauptstraße 177;8041;Graz;+43(0)316/872-6780;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,032558;15,464603
1715739,86830000;5957437,24640000;40;VS Graz-Fischerau;Augasse 81;8051;Graz;+43(0)316/872-6920;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,09404;15,412753
1720016,82400000;5956118,58650000;41;Sonderschule Graz-Rosenhain;Panoramagasse 23;8010;Graz;+43(0)316/872-6745;-;Pflichtschulen;Sonderschule für Kinder mit sonderpäd. Förderbedarf;Stadt Graz - Stadtvermessung;47,085976;15,451174
1719767,77160000;5955306,89360000;42;Landesinstitut für Hörgeschädigte (SPZ);Rosenberggürtel 12;8010;Graz;+43(0)316/323015-29;-;Pflichtschulen;Sonderschule für Kinder mit sonderpäd. Förderbedarf;Stadt Graz - Stadtvermessung;47,081009;15,448936
1717776,51540000;5949309,93220000;43;Polytechnische Schule Graz-Herrgottwies;Herrgottwiesgasse 162a;8055;Graz;+43(0)316/872-6885;-;Pflichtschulen;Polytechnische Schule;Stadt Graz - Stadtvermessung;47,044312;15,431049
1718326,64290000;5955159,04040000;44;VS Graz-Geidorf;Muchargasse 23;8010;Graz;+43(0)316/872-6800;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,080105;15,435991
1721944,35300000;5958038,06450000;45;VS Graz-St. Johann;Mariatroster Straße 128;8043;Graz;+43(0)316/872-6700;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,097713;15,46849
1717376,09350000;5945836,05750000;46;VS Graz-Puntigam;Gradnerstraße 24;8055;Graz;+43(0)316/872-6890;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,023045;15,427452
1713878,48300000;5954375,15500000;47;Praxis VS der Kirchl. Päd. Hochschule der Diözese;Georgigasse 85-89;8020;Graz;+43(0)316/581670-54;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,07531;15,396032
1720128,52680000;5959744,83080000;48;Schule im Pfeifferhof (SiP) - Knallerbse des Vereines Mit Kindern leben;Pfeifferhofweg 153;8045;Graz;+43(0)316/354988;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,10815;15,452177
1717246,51630000;5954448,50580000;49;VS Graz-Gabelsberger;Gabelsbergerstraße 1;8020;Graz;+43(0)316/872-6930;-;Pflichtschulen;Volksschule;Stadt Graz - Stadtvermessung;47,07576;15,426288
