Jahr, Geschlecht, Zählsprengel,Zusammen,0 Jahre,1 Jahr,2 Jahre,3 Jahre,4 Jahre,5 Jahre,6 Jahre,7 Jahre,8 Jahre,9 Jahre,10 Jahre,11 Jahre,12 Jahre,13 Jahre,14 Jahre,15 Jahre,16 Jahre,17 Jahre,18 Jahre,19 Jahre,20 Jahre,21 Jahre,22 Jahre,23 Jahre,24 Jahre,25 Jahre,26 Jahre,27 Jahre,28 Jahre,29 Jahre,30 Jahre,31 Jahre,32 Jahre,33 Jahre,34 Jahre,35 Jahre,36 Jahre,37 Jahre,38 Jahre,39 Jahre,40 Jahre,41 Jahre,42 Jahre,43 Jahre,44 Jahre,45 Jahre,46 Jahre,47 Jahre,48 Jahre,49 Jahre,50 Jahre,51 Jahre,52 Jahre,53 Jahre,54 Jahre,55 Jahre,56 Jahre,57 Jahre,58 Jahre,59 Jahre,60 Jahre,61 Jahre,62 Jahre,63 Jahre,64 Jahre,65 Jahre,66 Jahre,67 Jahre,68 Jahre,69 Jahre,70 Jahre,71 Jahre,72 Jahre,73 Jahre,74 Jahre,75 Jahre,76 Jahre,77 Jahre,78 Jahre,79 Jahre,80 Jahre,81 Jahre,82 Jahre,83 Jahre,84 Jahre,85 Jahre,86 Jahre,87 Jahre,88 Jahre,89 Jahre,90 Jahre,91 Jahre,92 Jahre,93 Jahre,94 Jahre,95 Jahre und älter
1971 Männer und Frauen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graz insgesamt,249.089,2.836,3.024,3.289,3.390,3.194,3.189,3.311,3.301,3.263,3.033,2.871,2.828,2.678,2.663,2.631,2.673,2.667,2.685,2.840,3.044,3.531,3.981,4.411,4.484,4.654,3.330,4.327,4.668,4.398,4.765,4.644,4.851,3.429,2.555,2.388,2.331,2.401,2.368,2.529,2.662,2.824,2.803,2.892,2.995,3.032,3.171,3.342,3.466,3.662,3.686,3.626,3.342,2.361,1.917,2.123,2.278,3.262,3.352,3.544,3.360,3.403,3.417,3.240,3.099,2.919,3.039,3.013,2.796,2.829,2.698,2.438,2.383,2.343,2.050,1.972,1.700,1.676,1.624,1.331,1.271,1.058,995,916,825,621,506,429,344,272,218,147,117,69,56,48,72
60101 000 (GRAZ )<60101 000>,1.400,10,15,17,13,13,18,21,12,19,17,11,13,17,9,7,11,9,19,27,15,20,10,25,28,21,13,27,29,18,20,20,25,20,11,15,11,12,13,11,9,16,10,7,12,15,10,20,18,23,20,17,20,16,7,15,15,13,22,28,19,21,24,19,24,16,24,18,16,19,23,16,16,22,17,32,15,18,6,15,17,7,12,6,3,1,3,2,5,2,2,1,1,-,1,2,-
60101 001 (GRAZ )<60101 001>,859,4,6,7,5,7,7,4,9,8,5,6,5,7,7,5,6,5,8,11,9,7,7,23,17,18,11,12,12,18,15,16,9,3,5,7,3,8,2,3,5,15,5,6,7,6,10,10,12,15,11,15,13,7,8,12,13,6,21,14,17,9,20,22,16,20,14,17,21,12,7,9,15,12,18,16,8,13,8,4,6,7,5,5,3,-,5,2,3,3,2,1,1,-,-,-,-
60101 002 (GRAZ )<60101 002>,675,8,11,7,7,6,5,6,10,4,5,7,5,8,9,5,2,6,9,6,17,8,8,5,17,8,3,9,10,15,10,10,15,7,5,5,2,6,10,7,5,2,7,5,6,7,4,10,10,7,8,10,7,10,5,13,8,8,16,8,14,8,10,9,11,13,13,22,14,6,13,8,6,8,7,8,7,6,7,4,2,3,2,4,1,2,2,1,2,-,1,-,-,1,-,-,1
60101 003 (GRAZ )<60101 003>,754,3,4,9,9,8,8,9,13,4,5,5,4,5,5,6,7,9,8,12,9,11,19,17,10,8,10,16,18,20,14,7,10,8,9,1,8,3,5,5,7,7,10,5,6,4,11,6,13,8,15,14,13,9,10,10,11,10,15,5,10,9,12,10,7,9,18,15,10,15,2,9,11,7,10,5,10,9,9,5,7,4,6,2,7,1,1,1,-,3,-,-,-,-,-,-,-
60101 004 (GRAZ )<60101 004>,955,5,11,8,12,11,4,14,12,9,4,8,15,9,12,13,6,10,11,11,12,15,15,20,17,27,13,19,20,13,18,14,15,4,13,11,8,10,6,11,7,3,10,13,10,12,7,16,9,15,12,16,11,8,14,8,3,8,17,11,12,19,10,13,14,18,15,17,18,10,13,17,10,10,15,7,15,8,4,5,4,6,2,3,4,1,1,2,1,3,-,-,-,-,-,-,2
60101 005 (GRAZ )<60101 005>,1.644,9,13,20,13,7,13,11,14,9,11,16,14,12,17,14,16,22,12,16,18,25,39,22,33,36,13,33,26,29,14,34,30,20,16,10,13,9,12,20,14,15,14,21,12,28,14,17,19,23,26,19,27,22,9,14,14,25,19,36,27,26,30,20,30,18,33,26,22,32,25,29,30,18,19,13,12,19,15,21,9,12,13,7,7,7,7,5,3,2,2,3,-,-,1,2,-
60101 006 (GRAZ )<60101 006>,553,4,7,10,7,3,4,8,6,5,2,8,7,6,2,4,10,7,5,9,3,10,7,13,10,10,5,9,6,8,11,17,14,5,3,4,-,5,1,3,3,3,4,1,2,7,10,7,6,8,7,9,8,6,5,3,4,9,7,13,10,9,15,9,10,10,5,9,5,6,9,7,4,5,11,11,5,3,4,5,4,1,3,6,1,3,-,2,1,-,-,-,-,-,-,-,-
60101 010 (GRAZ )<60101 010>,1.302,13,17,14,9,11,12,10,10,13,7,5,11,10,7,7,12,15,6,11,12,11,28,25,25,30,25,27,26,16,28,27,32,19,16,10,9,11,11,11,10,7,12,17,9,4,14,12,11,20,24,20,19,13,9,15,15,16,20,21,23,21,31,23,14,7,31,22,19,19,17,22,14,15,13,18,13,9,13,9,12,6,5,10,2,2,9,5,5,2,-,1,1,1,-,-,1
60101 011 (GRAZ )<60101 011>,1.020,10,4,12,8,8,4,13,11,7,11,5,2,5,6,3,5,6,3,8,13,13,17,19,23,23,13,18,22,24,15,13,19,11,13,9,10,8,10,7,4,13,5,14,7,11,11,14,7,10,9,16,22,8,12,14,8,12,13,21,19,25,16,15,11,18,14,13,17,14,17,12,14,15,17,13,11,8,14,15,11,8,5,10,4,3,2,4,1,3,2,2,2,1,-,1,1
