ElectionID,RegionID,ParentID,RegionName,DistrictName
NR2017,G00000,,Österreich,
NR2017,G10000,G00000,Burgenland,
NR2017,G10099,G10000,Wahlkarten - Burgenland,
NR2017,G10100,G1A000,Eisenstadt(Stadt),
NR2017,G10101,G10100,Eisenstadt,
NR2017,G10199,G10100,Wahlkarten - Eisenstadt(Stadt),
NR2017,G10200,G1A000,Rust(Stadt),
NR2017,G10201,G10200,Rust,
NR2017,G10299,G10200,Wahlkarten - Rust(Stadt),
NR2017,G10300,G1A000,Eisenstadt-Umgebung,
NR2017,G10301,G10300,Breitenbrunn am Neusiedler See,
NR2017,G10302,G10300,Donnerskirchen,
NR2017,G10303,G10300,Großhöflein,
NR2017,G10304,G10300,Hornstein,
NR2017,G10305,G10300,Klingenbach,
NR2017,G10306,G10300,Leithaprodersdorf,
NR2017,G10307,G10300,Mörbisch am See,
NR2017,G10308,G10300,Müllendorf,
NR2017,G10309,G10300,Neufeld an der Leitha,
NR2017,G10310,G10300,Oggau am Neusiedler See,
NR2017,G10311,G10300,Oslip,
NR2017,G10312,G10300,Purbach am Neusiedler See,
NR2017,G10313,G10300,Sankt Margarethen im Burgenland,
NR2017,G10314,G10300,Schützen am Gebirge,
NR2017,G10315,G10300,Siegendorf,
NR2017,G10316,G10300,Steinbrunn,
NR2017,G10317,G10300,Trausdorf an der Wulka,
NR2017,G10318,G10300,Wimpassing an der Leitha,
NR2017,G10319,G10300,Wulkaprodersdorf,
NR2017,G10320,G10300,Loretto,
NR2017,G10321,G10300,Stotzing,
NR2017,G10322,G10300,Zillingtal,
NR2017,G10323,G10300,Zagersdorf,
NR2017,G10399,G10300,Wahlkarten - Eisenstadt-Umgebung,
NR2017,G10400,G1B000,Güssing,
NR2017,G10401,G10400,Bocksdorf,
NR2017,G10402,G10400,Burgauberg-Neudauberg,
NR2017,G10403,G10400,Eberau,
NR2017,G10404,G10400,Gerersdorf-Sulz,
NR2017,G10405,G10400,Güssing,
NR2017,G10406,G10400,Güttenbach,
NR2017,G10407,G10400,Heiligenbrunn,
NR2017,G10408,G10400,Kukmirn,
NR2017,G10409,G10400,Neuberg im Burgenland,
NR2017,G10410,G10400,Neustift bei Güssing,
NR2017,G10411,G10400,Olbendorf,
NR2017,G10412,G10400,Ollersdorf im Burgenland,
NR2017,G10413,G10400,Sankt Michael im Burgenland,
NR2017,G10414,G10400,Stegersbach,
NR2017,G10415,G10400,Stinatz,
