wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
NR2019;100;Innere Stadt;ÖVP;Österreichische Volkspartei;1;1397;5;1392;372;4
NR2019;100;Innere Stadt;SPÖ;Sozialdemokratische Partei Österreichs;2;1397;5;1392;153;4
NR2019;100;Innere Stadt;FPÖ;Freiheitliche Partei Österreichs;3;1397;5;1392;128;4
NR2019;100;Innere Stadt;NEOS;NEOS - Das Neue Österreich;4;1397;5;1392;183;4
NR2019;100;Innere Stadt;JETZT;JETZT - Liste Pilz;5;1397;5;1392;54;4
NR2019;100;Innere Stadt;GRÜNE;Die Grünen - Die Grüne Alternative;6;1397;5;1392;457;4
NR2019;100;Innere Stadt;KPÖ;Kommunistische Partei Österreichs;7;1397;5;1392;37;4
NR2019;100;Innere Stadt;WANDL;Wandel - Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.;8;1397;5;1392;8;4
NR2019;200;St Leonhard;ÖVP;Österreichische Volkspartei;1;6351;28;6323;1507;15
NR2019;200;St Leonhard;SPÖ;Sozialdemokratische Partei Österreichs;2;6351;28;6323;727;15
NR2019;200;St Leonhard;FPÖ;Freiheitliche Partei Österreichs;3;6351;28;6323;457;15
NR2019;200;St Leonhard;NEOS;NEOS - Das Neue Österreich;4;6351;28;6323;781;15
NR2019;200;St Leonhard;JETZT;JETZT - Liste Pilz;5;6351;28;6323;247;15
NR2019;200;St Leonhard;GRÜNE;Die Grünen - Die Grüne Alternative;6;6351;28;6323;2417;15
NR2019;200;St Leonhard;KPÖ;Kommunistische Partei Österreichs;7;6351;28;6323;144;15
NR2019;200;St Leonhard;WANDL;Wandel - Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.;8;6351;28;6323;43;15
NR2019;300;Geidorf;ÖVP;Österreichische Volkspartei;1;10178;54;10124;2626;24
NR2019;300;Geidorf;SPÖ;Sozialdemokratische Partei Österreichs;2;10178;54;10124;1313;24
NR2019;300;Geidorf;FPÖ;Freiheitliche Partei Österreichs;3;10178;54;10124;771;24
NR2019;300;Geidorf;NEOS;NEOS - Das Neue Österreich;4;10178;54;10124;1336;24
NR2019;300;Geidorf;JETZT;JETZT - Liste Pilz;5;10178;54;10124;357;24
NR2019;300;Geidorf;GRÜNE;Die Grünen - Die Grüne Alternative;6;10178;54;10124;3473;24
NR2019;300;Geidorf;KPÖ;Kommunistische Partei Österreichs;7;10178;54;10124;191;24
NR2019;300;Geidorf;WANDL;Wandel - Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.;8;10178;54;10124;57;24
NR2019;400;Lend;ÖVP;Österreichische Volkspartei;1;9162;85;9077;2079;26
NR2019;400;Lend;SPÖ;Sozialdemokratische Partei Österreichs;2;9162;85;9077;2133;26
NR2019;400;Lend;FPÖ;Freiheitliche Partei Österreichs;3;9162;85;9077;1278;26
NR2019;400;Lend;NEOS;NEOS - Das Neue Österreich;4;9162;85;9077;695;26
NR2019;400;Lend;JETZT;JETZT - Liste Pilz;5;9162;85;9077;297;26
NR2019;400;Lend;GRÜNE;Die Grünen - Die Grüne Alternative;6;9162;85;9077;2249;26
NR2019;400;Lend;KPÖ;Kommunistische Partei Österreichs;7;9162;85;9077;290;26
NR2019;400;Lend;WANDL;Wandel - Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.;8;9162;85;9077;56;26
NR2019;500;Gries;ÖVP;Österreichische Volkspartei;1;6889;73;6816;1530;24
