MovieID,OriginalLanguage,OriginalTitle,EnglishTitle,Budget,Revenue,Homepage,Runtime,ReleaseDate,Genres,CastID,ProductionCompanies,ProductionCountries,SpokenLanguages
79782,en-English,Wenecja,Venice,,,,110,2010-05-25,Drama|Romance,,,,pl-Polski
141210,en-English,The Sleepover,The Sleepover,,,,6,2013-10-12,Comedy|Horror,,,,
143750,en-English,The Farmer's Wife,The Farmer's Wife,,,http://www.thefarmerswifefilm.co.uk/,18,2012-06-20,Drama,,,,en-English
84198,en-English,A Place at the Table,A Place at the Table,,,,84,2012-03-22,Documentary,,,US-United States of America,en-English
171982,en-English,Romance,Romance,,,,27,2012-10-09,Romance|Drama|Comedy,,,,en-English
136558,en-English,Kingdom Come,Kingdom Come,,,http://brokenkingdomfilm.com/#/kingdomcome,88,2011-01-01,Comedy,,,,
110428,fr-Français,Camille Claudel 1915,Camille Claudel 1915,3512454,115860,,95,2013-03-13,Drama,,Canal+|Arte France Cinéma|3B Productions|C.R.R.A.V. Nord Pas de Calais|Region PACA,FR-France,fr-Français
78022,en-English,Da wu sheng,My Kingdom,,,,95,2011-09-08,Drama|Action|Romance|Foreign,,,CN-China,zh-普通话|cn-广州话 / 廣州話
66111,en-English,Luster,Luster,,,,,2010-12-12,Drama,,Epic Pictures Group|Azurelite Pictures,,
77221,en-English,Black Gold,Black Gold,40000000,5446000,,130,2011-12-21,Adventure|Drama,,France 2 Cinéma|Quinta Communications|Carthago Films S.a.r.l.|Prima TV|Doha Film Institute; The,FR-France|IT-Italy|QA-Qatar|TN-Tunisia,en-English
171771,en-English,La Cicatrice,The Scar,,,,90,2013-03-03,Drama,,Cicatrice Film inc,CA-Canada,fr-Français
16166,fi-suomi,Sauna,Sauna,,,,85,2010-06-25,Horror,,Bronson Club,CZ-Czech Republic|FI-Finland,fi-suomi|ru-Pусский
24392,en-English,The Dark Lurking,The Dark Lurking,1000000,,,96,2010-01-01,Action|Horror|Science Fiction,,Filmwerx77|Left Films,AU-Australia,en-English|pl-Polski
25195,en-English,Leap Year,Leap Year,19000000,29922472,http://www.leapyearfilm.net,100,2010-01-08,Romance|Comedy,,Universal Pictures|Spyglass Entertainment|Octagon Films|BenderSpink|Birnbaum / Barber Productions,IE-Ireland|US-United States of America,en-English
20504,en-English,The Book of Eli,The Book of Eli,80000000,157107755,,118,2010-01-14,Action|Thriller|Science Fiction,,Alcon Entertainment|Silver Pictures,US-United States of America,en-English
40660,en-English,Jos rakastat,If You Love,2000000,,,121,2010-01-06,Drama|Comedy,,,FI-Finland,fi-suomi
22894,en-English,Legion,Legion,26000000,67918658,http://www.legionmovie.com,100,2010-01-21,Horror,,Bold Films,US-United States of America,en-English
31156,en-English,Dante's Hell Animated,Dante's Hell Animated,,,,35,2013-11-25,Animation,,Dante's Inferno Animation,US-United States of America,it-Italiano
27569,en-English,Extraordinary Measures,Extraordinary Measures,31000000,15134293,http://www.extraordinarymeasuresthemovie.com,105,2010-01-21,Drama,,Double Feature Films|CBS Films,US-United States of America,en-English
62775,fi-suomi,Havukka-Ahon Ajattelija,Havukka-Ahon Ajattelija,2225000,,,,2010-01-15,Comedy|Drama,,,,fi-suomi
13477,en-English,When in Rome,When in Rome,,36699403,,91,2010-01-29,Fantasy|Comedy|Romance,,Krasnoff Foster Productions|Touchstone Pictures|Film Production Consultants,US-United States of America,en-English|it-Italiano
12201,en-English,Edge of Darkness,Edge of Darkness,80000000,74901339,,117,2010-01-29,Crime|Drama|Mystery|Thriller,,Icon Productions|BBC Films|GK Films|Warner Bros.,GB-United Kingdom|US-United States of America,en-English
33602,en-English,Temple Grandin,Temple Grandin,,,,108,2010-02-06,Drama,,Ruby Films|HBO Films,US-United States of America,en-English
