#Year, Host_Country, Match_ID, Team, Player, Minute
1990,Italy,386,Italy,Salvatore Schillaci,17
1990,Italy,386,Argentina,Claudio Caniggia,67
1990,Italy,387,West Germany,Andreas Brehme,60
1990,Italy,387,England,Gary Lineker,80
1990,Italy,388,Italy,Roberto Baggio,71
1990,Italy,388,Italy,Salvatore Schillaci,86
1990,Italy,388,England,David Platt,81
2006,Germany,630,Italy,Fabio Grosso,119
2006,Germany,630,Italy,Alessandro Del Piero,121
2006,Germany,632,Germany,Bastian Schweinsteiger,56
2006,Germany,632,Germany,Bastian Schweinsteiger,78
2006,Germany,632,Germany,Petit,60
2006,Germany,632,Portugal,Nuno Gomes,88
2014,Brazil,698,Brazil,Neymar,29
2014,Brazil,698,Brazil,Neymar,71
2014,Brazil,698,Brazil,Oscar,91
2014,Brazil,698,Croatia,Marcelo,11
2014,Brazil,699,Mexico,Oribe Peralta,61
2014,Brazil,701,Croatia,Ivica Olić,11
2014,Brazil,701,Croatia,Ivan Perišić,48
2014,Brazil,701,Croatia,Mario Mandžukić,61
2014,Brazil,701,Croatia,Mario Mandžukić,73
2014,Brazil,702,Cameroon,Joël Matip,26
2014,Brazil,702,Brazil,Neymar,17
2014,Brazil,702,Brazil,Neymar,35
2014,Brazil,702,Brazil,Fred,49
2014,Brazil,702,Brazil,Fernandinho,84
2014,Brazil,703,Croatia,Ivan Perišić,87
2014,Brazil,703,Mexico,Rafael Márquez,72
2014,Brazil,703,Mexico,Andrés Guardado,75
2014,Brazil,703,Mexico,Javier Hernández,82
2014,Brazil,704,Spain,Xabi Alonso,27
2014,Brazil,704,Netherlands,Robin van Persie,44
2014,Brazil,704,Netherlands,Robin van Persie,72
2014,Brazil,704,Netherlands,Arjen Robben,53
2014,Brazil,704,Netherlands,Arjen Robben,80
2014,Brazil,704,Netherlands,Stefan de Vrij,65
2014,Brazil,705,Chile,Alexis Sánchez,12
2014,Brazil,705,Chile,Jorge Valdívia,14
2014,Brazil,705,Chile,Jean Beausejour,92
2014,Brazil,705,Australia,Tim Cahill,35
