#Year, Host_Country, Match_ID, Type, Date, Location, Team 1, Team 2, Score 1, Score 2
1954,Switzerland,1,Group 1,1954-06-16,Charmilles Stadium; Geneva,Brazil,Mexico,5,0
1954,Switzerland,2,Group 1,1954-06-16,Stade Olympique de la Pontaise; Lausanne,Yugoslavia,France,1,0
1954,Switzerland,3,Group 1,1954-06-19,Stade Olympique de la Pontaise; Lausanne,Brazil,Yugoslavia,1,1
1954,Switzerland,4,Group 1,1954-06-19,Charmilles Stadium; Geneva,France,Mexico,3,2
1954,Switzerland,5,Group 2,1954-06-17,Wankdorf Stadium; Bern,West Germany,Turkey,4,1
1954,Switzerland,6,Group 2,1954-06-17,Hardturm Stadium; Zürich,Hungary,South Korea,9,0
1954,Switzerland,7,Group 2,1954-06-20,St. Jakob Stadium; Basel,Hungary,West Germany,8,3
1954,Switzerland,8,Group 2,1954-06-20,Charmilles Stadium; Geneva,Turkey,South Korea,7,0
1954,Switzerland,9,Group 2,1954-06-23,Hardturm Stadium; Zürich,West Germany,Turkey,7,2
1954,Switzerland,10,Group 3,1954-06-16,Wankdorf Stadium; Bern,Uruguay,Czechoslovakia,2,0
1954,Switzerland,11,Group 3,1954-06-16,Hardturm Stadium; Zürich,Austria,Scotland,1,0
1954,Switzerland,12,Group 3,1954-06-19,Hardturm Stadium; Zürich,Austria,Czechoslovakia,5,0
1954,Switzerland,13,Group 3,1954-06-19,St. Jakob Stadium; Basel,Uruguay,Scotland,7,0
1954,Switzerland,14,Group 4,1954-06-17,St. Jakob Stadium; Basel,England,Belgium,4,4
1954,Switzerland,15,Group 4,1954-06-17,Stade Olympique de la Pontaise; Lausanne,Switzerland,Italy,2,1
1954,Switzerland,16,Group 4,1954-06-20,Wankdorf Stadium; Bern,England,Switzerland,2,0
1954,Switzerland,17,Group 4,1954-06-20,Cornaredo Stadium; Lugano,Italy,Belgium,4,1
1954,Switzerland,18,Group 4,1954-06-23,St. Jakob Stadium; Basel,Switzerland,Italy,4,1
1954,Switzerland,19,Quarter-finals,1954-06-26,Stade Olympique de la Pontaise; Lausanne,Austria,Switzerland,7,5
1954,Switzerland,20,Quarter-finals,1954-06-26,St. Jakob Stadium; Basel,Uruguay,England,4,2
1954,Switzerland,21,Quarter-finals,1954-06-27,Charmilles Stadium; Geneva,Yugoslavia,West Germany,0,2
1954,Switzerland,22,Quarter-finals,1954-06-27,Wankdorf Stadium; Bern,Brazil,Hungary,2,4
1954,Switzerland,23,Semi-finals,1954-06-30,St. Jakob Stadium; Basel,West Germany,Austria,6,1
1954,Switzerland,24,Semi-finals,1954-06-30,Stade Olympique de la Pontaise; Lausanne,Hungary,Uruguay,4,2
1954,Switzerland,25,Match for third place,1954-07-03,Hardturm Stadium; Zürich,Uruguay,Austria,1,3
1954,Switzerland,26,Final,1954-07-04,Wankdorf Stadium; Bern,Hungary,West Germany,2,3
1958,Sweden,27,Group 1,1958-06-08,Malmö Stadion; Malmö,West Germany,Argentina,3,1
1958,Sweden,28,Group 1,1958-06-08,Örjans Vall; Halmstad,Northern Ireland,Czechoslovakia,1,0
1958,Sweden,29,Group 1,1958-06-11,Örjans Vall; Halmstad,Argentina,Northern Ireland,3,1
