#Year, Host_Country, Country, Jersey_Number, Position, Name, Club_Name, Club_Country
1954,Switzerland,Austria,1,GK,Kurt Schmied,First Vienna FC,Austria
1954,Switzerland,Austria,15,GK,Franz Pelikan,Wacker Wien,Austria
1954,Switzerland,Austria,16,GK,Walter Zeman,Rapid Wien,Austria
1954,Switzerland,Austria,2,DF,Gerhard Hanappi,Rapid Wien,Austria
1954,Switzerland,Austria,4,DF,Leopold Barschandt,Wiener Sportclub,Austria
1954,Switzerland,Austria,5,DF,Ernst Ocwirk,Austria Wien,Austria
1954,Switzerland,Austria,20,DF,Paul Halla,Rapid Wien,Austria
1954,Switzerland,Austria,3,MF,Ernst Happel,Rapid Wien,Austria
1954,Switzerland,Austria,6,MF,Karl Koller,First Vienna FC,Austria
1954,Switzerland,Austria,10,MF,Erich Probst,Rapid Wien,Austria
1954,Switzerland,Austria,12,MF,Karl Stotz,Austria Wien,Austria
1954,Switzerland,Austria,13,MF,Walter Kollmann,Wacker Wien,Austria
1954,Switzerland,Austria,14,MF,Karl Giesser,Rapid Wien,Austria
1954,Switzerland,Austria,17,MF,Alfred Teinitzer,Linzer ASK,Austria
1954,Switzerland,Austria,18,MF,Johann Riegler,Rapid Wien,Austria
1954,Switzerland,Austria,7,FW,Robert Körner,Rapid Wien,Austria
1954,Switzerland,Austria,8,FW,Walter Schleger,Austria Wien,Austria
1954,Switzerland,Austria,9,FW,Theodor Wagner,Wacker Wien,Austria
1954,Switzerland,Austria,11,FW,Alfred Körner,Rapid Wien,Austria
1954,Switzerland,Austria,19,FW,Robert Dienst,Rapid Wien,Austria
1954,Switzerland,Austria,21,FW,Ernst Stojaspal,Austria Wien,Austria
1954,Switzerland,Austria,22,FW,Walter Haummer,Wacker Wien,Austria
1954,Switzerland,Belgium,1,GK,Léopold Gernaey,A.S.V. Oostende K.M.,Belgium
1954,Switzerland,Belgium,12,GK,Charles Geerts,Royal Beerschot AC,Belgium
1954,Switzerland,Belgium,17,GK,Raymond Ausloos,White Star,Belgium
1954,Switzerland,Belgium,2,DF,Marcel Dries,Berchem Sport,Belgium
1954,Switzerland,Belgium,3,DF,Alfons Van Brandt,Lierse,Belgium
1954,Switzerland,Belgium,4,DF,Constant Huysmans,Royal Beerschot AC,Belgium
1954,Switzerland,Belgium,13,DF,Henri Dirickx,Union St. Gilloise,Belgium
1954,Switzerland,Belgium,18,DF,Jef Van Der Linden,Royal Antwerp FC,Belgium
1954,Switzerland,Belgium,5,MF,Louis Carré,Royal FC Liegeois,Belgium
