#Year, Host_Country, Match_ID, Team, Player, Minute
1990,Italy,386,Italy,Salvatore Schillaci,17
1990,Italy,386,Argentina,Claudio Caniggia,67
1990,Italy,387,West Germany,Andreas Brehme,60
1990,Italy,387,England,Gary Lineker,80
1990,Italy,388,Italy,Roberto Baggio,71
1990,Italy,388,Italy,Salvatore Schillaci,86
1990,Italy,388,England,David Platt,81
2006,Germany,630,Italy,Fabio Grosso,119
2006,Germany,630,Italy,Alessandro Del Piero,121
2006,Germany,632,Germany,Bastian Schweinsteiger,56
2006,Germany,632,Germany,Bastian Schweinsteiger,78
2006,Germany,632,Germany,Petit,60
2006,Germany,632,Portugal,Nuno Gomes,88
