#Year, Host_Country, Match_ID, Type, Date, Location, Team 1, Team 2, Score 1, Score 2
1954,Switzerland,1,Group 1,16 June,Charmilles Stadium; Geneva,Brazil,Mexico,5,0
1954,Switzerland,2,Group 1,16 June,Stade Olympique de la Pontaise; Lausanne,Yugoslavia,France,1,0
1954,Switzerland,3,Group 1,19 June,Stade Olympique de la Pontaise; Lausanne,Brazil,Yugoslavia,1,1
1954,Switzerland,4,Group 1,19 June,Charmilles Stadium; Geneva,France,Mexico,3,2
1954,Switzerland,5,Group 2,17 June,Wankdorf Stadium; Bern,West Germany,Turkey,4,1
1954,Switzerland,6,Group 2,17 June,Hardturm Stadium; Zürich,Hungary,South Korea,9,0
1954,Switzerland,7,Group 2,20 June,St. Jakob Stadium; Basel,Hungary,West Germany,8,3
1954,Switzerland,8,Group 2,20 June,Charmilles Stadium; Geneva,Turkey,South Korea,7,0
1954,Switzerland,9,Group 2,23 June,Hardturm Stadium; Zürich,West Germany,Turkey,7,2
1954,Switzerland,10,Group 3,16 June,Wankdorf Stadium; Bern,Uruguay,Czechoslovakia,2,0
1954,Switzerland,11,Group 3,16 June,Hardturm Stadium; Zürich,Austria,Scotland,1,0
1954,Switzerland,12,Group 3,19 June,Hardturm Stadium; Zürich,Austria,Czechoslovakia,5,0
1954,Switzerland,13,Group 3,19 June,St. Jakob Stadium; Basel,Uruguay,Scotland,7,0
1954,Switzerland,14,Group 4,17 June,St. Jakob Stadium; Basel,England,Belgium,4,4
1954,Switzerland,15,Group 4,17 June,Stade Olympique de la Pontaise; Lausanne,Switzerland,Italy,2,1
1954,Switzerland,16,Group 4,20 June,Wankdorf Stadium; Bern,England,Switzerland,2,0
1954,Switzerland,17,Group 4,20 June,Cornaredo Stadium; Lugano,Italy,Belgium,4,1
1954,Switzerland,18,Group 4,23 June,St. Jakob Stadium; Basel,Switzerland,Italy,4,1
1954,Switzerland,19,Quarter-finals,26 June,Stade Olympique de la Pontaise; Lausanne,Austria,Switzerland,7,5
1954,Switzerland,20,Quarter-finals,26 June,St. Jakob Stadium; Basel,Uruguay,England,4,2
1954,Switzerland,21,Quarter-finals,27 June,Charmilles Stadium; Geneva,Yugoslavia,West Germany,0,2
1954,Switzerland,22,Quarter-finals,27 June,Wankdorf Stadium; Bern,Brazil,Hungary,2,4
1954,Switzerland,23,Semi-finals,30 June,St. Jakob Stadium; Basel,West Germany,Austria,6,1
1954,Switzerland,24,Semi-finals,30 June,Stade Olympique de la Pontaise; Lausanne,Hungary,Uruguay,4,2
1954,Switzerland,25,Third-place match,3 July,Hardturm Stadium; Zürich,Uruguay,Austria,1,3
1954,Switzerland,26,Final,4 July,Wankdorf Stadium; Bern,Hungary,West Germany,2,3
1958,Sweden,27,Group 1,8 June,Malmö Stadion; Malmö,West Germany,Argentina,3,1
1958,Sweden,28,Group 1,8 June,Örjans Vall; Halmstad,Northern Ireland,Czechoslovakia,1,0
1958,Sweden,29,Group 1,11 June,Örjans Vall; Halmstad,Argentina,Northern Ireland,3,1
1958,Sweden,30,Group 1,11 June,Olympiastadion; Helsingborg,West Germany,Czechoslovakia,2,2
1958,Sweden,31,Group 1,15 June,Malmö Stadion; Malmö,West Germany,Northern Ireland,2,2
1958,Sweden,32,Group 1,15 June,Olympiastadion; Helsingborg,Czechoslovakia,Argentina,6,1
1958,Sweden,33,Group 1,17 June,Malmö Stadion; Malmö,Northern Ireland,Czechoslovakia,2,1
1958,Sweden,34,Group 2,8 June,Idrottsparken; Norrköping,France,Paraguay,7,3
1958,Sweden,35,Group 2,8 June,Arosvallen; Västerås,Yugoslavia,Scotland,1,1
1958,Sweden,36,Group 2,11 June,Arosvallen; Västerås,Yugoslavia,France,3,2
1958,Sweden,37,Group 2,11 June,Idrottsparken; Norrköping,Paraguay,Scotland,3,2
1958,Sweden,38,Group 2,15 June,Eyravallen; Örebro,France,Scotland,2,1
1958,Sweden,39,Group 2,15 June,Tunavallen; Eskilstuna,Paraguay,Yugoslavia,3,3
1958,Sweden,40,Group 3,8 June,Råsunda Stadium; Solna,Sweden,Mexico,3,0
1958,Sweden,41,Group 3,8 June,Jernvallen; Sandviken,Hungary,Wales,1,1
1958,Sweden,42,Group 3,11 June,Råsunda Stadium; Solna,Mexico,Wales,1,1
1958,Sweden,43,Group 3,12 June,Råsunda Stadium; Solna,Sweden,Hungary,2,1
1958,Sweden,44,Group 3,15 June,Råsunda Stadium; Solna,Sweden,Wales,0,0
