#Year, Host_Country, Match_ID, Type, Date, Location, Team 1, Team 2, Score 1, Score 2
2014,Brazil,698,Group A,2014-06-12,Arena de São Paulo; São Paulo (UTC-3),Brazil,Croatia,3,1
2014,Brazil,699,Group A,2014-06-13,Estádio das Dunas; Natal (UTC-3),Mexico,Cameroon,1,0
2014,Brazil,700,Group A,2014-06-17,Estádio Castelão; Fortaleza (UTC-3),Brazil,Mexico,0,0
2014,Brazil,701,Group A,2014-06-18,Arena Amazônia; Manaus (UTC-4),Cameroon,Croatia,0,4
2014,Brazil,702,Group A,2014-06-23,Estádio Nacional Mané Garrincha; Brasília (UTC-3),Cameroon,Brazil,1,4
2014,Brazil,703,Group A,2014-06-23,Arena Pernambuco; Recife (UTC-3),Croatia,Mexico,1,3
2014,Brazil,704,Group B,2014-06-13,Arena Fonte Nova; Salvador (UTC-3),Spain,Netherlands,1,5
2014,Brazil,705,Group B,2014-06-13,Arena Pantanal; Cuiabá (UTC-4),Chile,Australia,3,1
2014,Brazil,706,Group B,2014-06-18,Estádio do Maracanã; Rio de Janeiro (UTC-3),Spain,Chile,0,2
2014,Brazil,707,Group B,2014-06-18,Estádio Beira-Rio; Porto Alegre (UTC-3),Australia,Netherlands,2,3
2014,Brazil,708,Group B,2014-06-23,Arena da Baixada; Curitiba (UTC-3),Australia,Spain,0,3
2014,Brazil,709,Group B,2014-06-23,Arena de São Paulo; São Paulo (UTC-3),Netherlands,Chile,2,0
2014,Brazil,710,Group C,2014-06-14,Estádio Mineirão; Belo Horizonte (UTC-3),Colombia,Greece,3,0
2014,Brazil,711,Group C,2014-06-14,Arena Pernambuco; Recife (UTC-3),Côte d'Ivoire,Japan,2,1
2014,Brazil,712,Group C,2014-06-19,Estádio Nacional Mané Garrincha; Brasília (UTC-3),Colombia,Côte d'Ivoire,2,1
2014,Brazil,713,Group C,2014-06-19,Estádio das Dunas; Natal (UTC-3),Japan,Greece,0,0
2014,Brazil,714,Group C,2014-06-24,Arena Pantanal; Cuiabá (UTC-4),Japan,Colombia,1,4
2014,Brazil,715,Group C,2014-06-24,Estádio Castelão; Fortaleza (UTC-3),Greece,Côte d'Ivoire,2,1
2014,Brazil,716,Group D,2014-06-14,Estádio Castelão; Fortaleza (UTC-3),Uruguay,Costa Rica,1,3
2014,Brazil,717,Group D,2014-06-14,Arena Amazônia; Manaus (UTC-4),England,Italy,1,2
2014,Brazil,718,Group D,2014-06-19,Arena de São Paulo; São Paulo (UTC-3),Uruguay,England,2,1
2014,Brazil,719,Group D,2014-06-20,Arena Pernambuco; Recife (UTC-3),Italy,Costa Rica,0,1
2014,Brazil,720,Group D,2014-06-24,Estádio das Dunas; Natal (UTC-3),Italy,Uruguay,0,1
2014,Brazil,721,Group D,2014-06-24,Estádio Mineirão; Belo Horizonte (UTC-3),Costa Rica,England,0,0
2014,Brazil,722,Group E,2014-06-15,Estádio Nacional Mané Garrincha; Brasília (UTC-3),Switzerland,Ecuador,2,1
2014,Brazil,723,Group E,2014-06-15,Estádio Beira-Rio; Porto Alegre (UTC-3),France,Honduras,3,0
2014,Brazil,724,Group E,2014-06-20,Arena Fonte Nova; Salvador (UTC-3),Switzerland,France,2,5
2014,Brazil,725,Group E,2014-06-20,Arena da Baixada; Curitiba (UTC-3),Honduras,Ecuador,1,2
2014,Brazil,726,Group E,2014-06-25,Arena Amazônia; Manaus (UTC-4),Honduras,Switzerland,0,3
2014,Brazil,727,Group E,2014-06-25,Estádio do Maracanã; Rio de Janeiro (UTC-3),Ecuador,France,0,0
2014,Brazil,728,Group F,2014-06-15,Estádio do Maracanã; Rio de Janeiro (UTC-3),Argentina,Bosnia-Herzegovina,2,1
2014,Brazil,729,Group F,2014-06-16,Arena da Baixada; Curitiba (UTC-3),Iran,Nigeria,0,0
2014,Brazil,730,Group F,2014-06-21,Estádio Mineirão; Belo Horizonte (UTC-3),Argentina,Iran,1,0
2014,Brazil,731,Group F,2014-06-21,Arena Pantanal; Cuiabá (UTC-4),Nigeria,Bosnia-Herzegovina,1,0
2014,Brazil,732,Group F,2014-06-25,Estádio Beira-Rio; Porto Alegre (UTC-3),Nigeria,Argentina,2,3
2014,Brazil,733,Group F,2014-06-25,Arena Fonte Nova; Salvador (UTC-3),Bosnia-Herzegovina,Iran,3,1
2014,Brazil,734,Group G,2014-06-16,Arena Fonte Nova; Salvador (UTC-3),Germany,Portugal,4,0
2014,Brazil,735,Group G,2014-06-16,Estádio das Dunas; Natal (UTC-3),Ghana,United States,1,2
2014,Brazil,736,Group G,2014-06-21,Estádio Castelão; Fortaleza (UTC-3),Germany,Ghana,2,2
2014,Brazil,737,Group G,2014-06-22,Arena Amazônia; Manaus (UTC-4),United States,Portugal,2,2
2014,Brazil,738,Group G,2014-06-26,Arena Pernambuco; Recife (UTC-3),United States,Germany,0,1
2014,Brazil,739,Group G,2014-06-26,Estádio Nacional Mané Garrincha; Brasília (UTC-3),Portugal,Ghana,2,1
2014,Brazil,740,Group H,2014-06-17,Estádio Mineirão; Belo Horizonte (UTC-3),Belgium,Algeria,2,1
2014,Brazil,741,Group H,2014-06-17,Arena Pantanal; Cuiabá (UTC-4),Russia,South Korea,1,1
2014,Brazil,742,Group H,2014-06-22,Estádio do Maracanã; Rio de Janeiro (UTC-3),Belgium,Russia,1,0
2014,Brazil,743,Group H,2014-06-22,Estádio Beira-Rio; Porto Alegre (UTC-3),South Korea,Algeria,2,4
2014,Brazil,744,Group H,2014-06-26,Arena de São Paulo; São Paulo (UTC-3),South Korea,Belgium,0,1
2014,Brazil,745,Group H,2014-06-26,Arena da Baixada; Curitiba (UTC-3),Algeria,Russia,1,1
2014,Brazil,746,Round of 16,2014-06-28,Estádio Mineirão; Belo Horizonte (UTC-3),Brazil,Chile,3,2
2014,Brazil,747,Round of 16,2014-06-28,Estádio do Maracanã; Rio de Janeiro (UTC-3),Colombia,Uruguay,2,0
2014,Brazil,748,Round of 16,2014-06-29,Estádio Castelão; Fortaleza (UTC-3),Netherlands,Mexico,2,1
2014,Brazil,749,Round of 16,2014-06-29,Arena Pernambuco; Recife (UTC-3),Costa Rica,Greece,5,3
2014,Brazil,750,Round of 16,2014-06-30,Estádio Nacional Mané Garrincha; Brasília (UTC-3),France,Nigeria,2,0
2014,Brazil,751,Round of 16,2014-06-30,Estádio Beira-Rio; Porto Alegre (UTC-3),Germany,Algeria,2,1
2014,Brazil,752,Round of 16,2014-07-01,Arena de São Paulo; São Paulo,Argentina,Switzerland,1,0
2014,Brazil,753,Round of 16,2014-07-01,Arena Fonte Nova; Salvador,Belgium,United States,2,1
2014,Brazil,754,Quarter-finals,2014-07-04,Estádio Castelão; Fortaleza,Brazil,Colombia,2,1
2014,Brazil,755,Quarter-finals,2014-07-04,Estádio do Maracanã; Rio de Janeiro (UTC-3),France,Germany,0,1
2014,Brazil,756,Quarter-finals,2014-07-05,Arena Fonte Nova; Salvador (UTC-3),Netherlands,Costa Rica,4,3
2014,Brazil,757,Quarter-finals,2014-07-05,Estádio Nacional Mané Garrincha; Brasília (UTC-3),Argentina,Belgium,1,0
2014,Brazil,758,Semi-finals,2014-07-08,Estádio Mineirão; Belo Horizonte (UTC-3),Brazil,Germany,1,7
2014,Brazil,759,Semi-finals,2014-07-09,Arena de São Paulo; São Paulo (UTC-3),Netherlands,Argentina,2,4
2014,Brazil,760,Match for third place,2014-07-12,Estádio Nacional Mané Garrincha; Brasília (UTC-3),Brazil,Netherlands,0,3
2014,Brazil,761,Final,2014-07-13,Estádio do Maracanã; Rio de Janeiro (UTC-3),Germany,Argentina,1,0
