NOC,Country,City,Year,StartDate,EndDate
AUS,Australia,Sydney,2000,15/09/2000,01/10/2000
AUS|SWE,Australia|Sweden,Melbourne|Stockholm,1956,22/11/1956|10/06/1956,08/12/1956|17/06/1956
BEL,Belgium,Antwerp,1920,14/08/1920,12/09/1920
BRA,Brazil,Rio de Janeiro,2016,05/08/2016,21/08/2016
CAN,Canada,Montreal,1976,17/07/1976,01/08/1976
FIN,Finland,Helsinki,1952,19/07/1952,03/08/1952
FRA,France,Paris,1900,14/05/1900,28/10/1900
FRA,France,Paris,1924,05/07/1924,27/07/1924
FRA,France,Paris,2024,26/07/2024,11/08/2024
GER,Germany,Berlin,1936,01/08/1936,16/08/1936
GBR,Great Britain,London,1908,27/04/1908,31/10/1908
GBR,Great Britain,London,1948,29/07/1948,14/08/1948
GBR,Great Britain,London,2012,27/07/2012,12/08/2012
GRE,Greece,Athens,1896,06/04/1896,15/04/1896
GRE,Greece,Athens,2004,13/08/2004,29/08/2004
ITA,Italy,Rome,1960,25/08/1960,11/09/1960
JPN,Japan,Tokyo,1964,10/10/1964,24/10/1964
JPN,Japan,Tokyo,2020,23/07/2021,08/08/2021
MEX,Mexico,Mexico City,1968,12/10/1968,27/10/1968
NED,Netherlands,Amsterdam,1928,28/07/1928,12/08/1928
CHN,People's Republic of China,Beijing,2008,08/08/2008,24/08/2008
KOR,Republic of Korea,Seoul,1988,17/09/1988,02/10/1988
URS,Soviet Union,Moscow,1980,19/07/1980,03/08/1980
ESP,Spain,Barcelona,1992,25/07/1992,09/08/1992
SWE,Sweden,Stockholm,1912,05/05/1912,22/07/1912
USA,United States of America,St. Louis,1904,01/07/1904,23/11/1904
USA,United States of America,Los Angeles,1932,30/07/1932,14/08/1932
USA,United States of America,Los Angeles,1984,28/07/1984,12/08/1984
USA,United States of America,Atlanta,1996,19/07/1996,04/08/1996
USA,United States of America,Los Angeles,2028,21/07/2028,06/08/2028
FRG,West Germany,Munich,1972,26/08/1972,11/09/1972
