Athens,Greece,1896,Europe,6 April 1896,15 April 1896 	
Paris,France,1900,Europe,14 May 1900,28 October 1900 	
St. Louis,United States,1904,North America,1 July 1904,23 November 1904 	
London,United Kingdom,1908,Europe,27 April 1908,31 October 1908 	
Stockholm,Sweden,1912,Europe,5 May 1912,22 July 1912 	
Antwerp,Belgium,1920,Europe,14 August 1920,12 September 1920
Paris,France,1924,Europe,5 July 1924,27 July 1924
Amsterdam,Netherlands,1928,Europe,28 July 1928,12 August 1928
Los Angeles,United States,1932,North America,30 July 1932,14 August 1932
Berlin,Germany,1936,Europe,1 August 1936,16 August 1936
London,United Kingdom,1948,Europe,29 July 1948,14 August 1948 	
Helsinki,Finland,1952,Europe,19 July 1952,3 August 1952 	
Melbourne/Stockholm,Australia/Sweden,1956,Oceania/Europe,22 November 1956/10 June 1956,8 December 1956/17 June 1956 	
Rome,Italy,1960,Europe,25 August 1960,11 September 1960 	
Tokyo,Japan,1964,Asia,10 October 1964,24 October 1964 	
Mexico City,1968,Mexico,North America,12 October 1968,27 October 1968 	
Munich,West Germany,1972,Europe,26 August 1972,11 September 1972 	
Montreal,Canada,1976,North America,17 July 1976,1 August 1976 	
Moscow,Soviet Union,1980,Europe,19 July 1980,3 August 1980 	
Los Angeles,United States,1984,North America,28 July 1984,12 August 1984 	
Seoul,South Korea,1988,Asia,17 September 1988,2 October 1988 	
Barcelona,Spain,1992,Europe,25 July 1992,9 August 1992 	
Atlanta,United States,1996,North America,19 July 1996,4 August 1996 	
Sydney,Australia,2000,Oceania,15 September 2000,1 October 2000 	
Athens,Greece,2004,Europe,13 August 2004,29 August 2004 	
Beijing,China,2008,Asia,8 August 2008,24 August 2008 	
London,United Kingdom,2012,Europe,27 July 2012,12 August 2012 	
Rio de Janeiro,Brazil,2016,South America,5 August 2016,21 August 2016 	
Tokyo,Japan,2020,23 July 2021,8 August 2021
Paris,France,2024,Europe,26 July 2024,11 August 2024 	
Los Angeles,United States,2028,North America,21 July 2028,6 August 2028
 	
